Mixture	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells	P-value	Correlation	RMSE	Absolute score (sig.score)
CPT0079430001	0.501810600126406	0.972483833917362	0	0.571425022250615	0.0190415620078436	0.268216398954426	0.00923815386910687	0	0.750185326062969	0.663088943566045	2.34221557112576
CPT0023360001	0.482824004340147	1.48389079075026	0	0.302855941790768	0.0116028183055082	0.381933785961647	0.023561315738396	0	0.605493193224023	0.79689037356245	2.68666865688673
CPT0023350003	0.887502528127562	1.04580378012933	0.266774110886786	0.14386292441742	0.00399651584971383	1.30156746910626	0	0	0.845643145071692	0.569980294282961	3.64950732851707
CPT0079410003	0.736570149523213	1.05877833129337	0.155302940160251	0.354678026528117	0.24308095689256	1.06744318623105	0	0	0.902702920920828	0.491519573060531	3.61585359062856
CPT0087040003	0.810590964012099	1.39343998389468	0	0.168848367927862	0.0244301237116182	0.75075714570229	0.457630422689482	0	0.801770093574118	0.635433133232494	3.60569700793803
CPT0077310003	0.727414913427871	1.20442553020707	0	0.244803946638844	0.0184430930504505	0.812875289243597	0.25623628406643	0	0.773767975372353	0.64987148142136	3.26419905663426
CPT0077320001	0.539865053828667	1.41333562099305	0.189423886686522	0.434875019486181	0.216527578731554	0.406689696194439	0	0	0.861119442257973	0.558669909149262	3.20071685592041
CPT0087050003	0.518031765771946	1.35352903465204	0	0.417641015650867	0	0.218552807489908	0.0759113021644263	0	0.575313365410997	0.821518144027616	2.58366592572919
CPT0078840001	0.659426762859839	1.247905995565	0	0.3824055852029	0.0134493069357774	0.309481311819184	0.042257630157561	0	0.577800068253035	0.817633678145075	2.65492659254026
CPT0075570001	0.258334058255314	1.25088295060855	0.0223419515902042	0.69173743657061	0.0175957681794064	0.308878508158454	0.0453365865408013	0	0.868088691767975	0.50422994303372	2.59510725990334
CPT0075560003	1.08194685015687	1.17900762668917	0.345658233355833	0.468641634034554	0	0.850631257209093	0	0	0.851395621920047	0.573856771554968	3.92588560144552
CPT0078830003	0.54833607258805	0.978090659135296	0	0.637373886493299	0	0.939314211437361	0	0	0.826485763242831	0.564508794291038	3.103114829654
CPT0077490003	0.499229436663491	1.4539932139427	0	0.265211558263811	0.0497061850485645	0.875122675049207	0.139767006819816	0	0.786647100569706	0.627403058416559	3.28303007578759
CPT0077500001	0.677149545339106	1.06749880046441	0	0.431189168681461	0.0245188082021191	0.402015874393766	0.133112641965178	0	0.63314231386684	0.774210924717328	2.73548483904604
CPT0023690003	0.929401103813806	1.90295803633316	0.0398663274404072	0.289345397715599	0.197650062416594	0.617451186740655	0.00225297920928162	0	0.732282920251141	0.699417678651051	3.9789250936695
CPT0023710001	0.657870088193141	1.06739349184727	0	0.391763262931812	0.0130232064850558	0.190555180260549	0.120314805923405	0	0.542060877515712	0.84322476866179	2.44092003564124
CPT0025060001	0.452925818894639	1.29439818872271	0	0.492052190765714	0.0283729063046654	0.402511342128179	0	0	0.740249207650327	0.673923888263162	2.67026044681591
CPT0092290003	0.778335162870379	1.39061804434506	0	0.149362305869635	0.193693217842533	1.10940125168645	0.169779151352561	0	0.784666931191492	0.639877762363188	3.79118913396661
CPT0014130001	0.367760092706984	1.10113684405614	0	0.544095425102789	0	0.230214705787512	0.057323532413551	0	0.777161183091109	0.632117275587247	2.30053060006697
CPT0001230001	0.38695086681662	1.22115293417855	0	0.416507492620418	0	0.124795756156029	0.0592586450576888	0	0.640642572041731	0.769363121010942	2.20866569482931
CPT0071150004	0.433313385971501	1.29080637850717	0.00912784228098124	0.627510665409771	0.0251475179494745	0.634551675707211	0.209659937219245	0	0.847676762642529	0.542029458009093	3.23011740304535
CPT0014160003	1.14887348258719	1.04099991138053	0	0	0.0321697691933039	1.30967172321239	0	0	0.796910721623206	0.636449343915801	3.53171488637342
CPT0092310003	0.779121479408696	0.958140122660531	0	0.524303437808171	0.00120910594114739	0.383793901390289	0.00587186249829366	0	0.625326811484179	0.781014123092108	2.65243990970713
CPT0001220008	0.917986480930922	0.985138803168644	0	0.195922612406816	0.0725752197891959	1.1336273373774	0.553858838677189	0	0.761770349742532	0.6626891050635	3.85910929235017
CPT0025050003	1.03381773258464	1.3389032252296	0.390847777949249	0.0956950553400974	0	1.15231528192733	0	0	0.878700236499693	0.557794353693168	4.01157907303091
CPT0088500001	0.634917308741461	1.13827493246579	0	0.414401748830082	0	0.0726146796173818	0.045754857429587	0	0.611965937769606	0.792471769104121	2.3059635270843
CPT0078510003	1.09693271217337	1.23295110177838	0.0372808017676453	0.256379669683269	0.0345412932126101	1.00729859789292	0	0	0.817097537403268	0.614383705638302	3.6653841765082
CPT0079510001	0.60250039178649	1.52523353072182	0	0.15722831060152	0.0394569402377154	0.24955946178013	0.013818679724969	0	0.601055106911996	0.801524330729956	2.58779731485265
CPT0089020003	0.736250154500847	1.12997692337883	0.123605858975223	0.421753364613192	0	0.826456538670893	0.20255575440125	0	0.819292295694215	0.594380916320653	3.44059859454023
CPT0078530001	0.459851809708379	1.22974293903261	0	0.520931886853535	0.0296766120412661	0.330578633190177	0.00255489254580832	0	0.720593352539777	0.694060434217097	2.57333677337178
CPT0079480003	0.653727720136079	1.1049998535637	0	0	0.00235366436495246	1.2580984989531	0.382638645246561	0	0.775583648219127	0.64334149009959	3.4018183822644
CPT0088480003	0.757793154757673	0.962715836151651	0.00145121683371037	0.474610808368611	0	1.08454752777664	0.168808271982893	0	0.87654105161743	0.509064626679898	3.44992681587117
CPT0089040001	0.574426840269344	1.02288140573562	0	0.486364482520113	0.0309302916560489	0.18582514979797	0.0553235528001043	0	0.713782406398646	0.704292151403279	2.3557517227792
CPT0026410003	0.549725482696585	1.14675201156252	0.027088534917694	0.780191979573938	0	0.728140234183386	0.178380160457106	0	0.86388337656133	0.514304628384839	3.41027840339123
CPT0006440003	0.100329624942466	1.33446521271737	0.030425823193388	0.509773669654453	0	1.10844816831207	0	0	0.825856433846554	0.56364432084375	3.08344249881974
CPT0066470004	0.684551347741666	1.35334142283645	0.144873992808898	0.115335892655979	0.00241207734944199	0.937924595512297	0	0	0.854363212443979	0.567543064788285	3.23843932890473
CPT0066430001	0.716677741905189	1.00472355577191	0	0.397791412194506	0	0.387214156212736	0.0254137567333843	0	0.610095965553972	0.792807870756022	2.53182062281772
CPT0020020001	0.534932718307605	1.24537378436184	0	0.36418566623165	0	0.135743612346104	0.0971191307922422	0	0.600296093228333	0.801078207007071	2.37735491203944
CPT0006530001	0.259566821300151	1.5118181018957	0	0.492555594080152	0.00271131121745913	0.122290722932955	0.0465758253382433	0	0.85477226407282	0.540057849968968	2.43551837676466
CPT0026420001	0.735615176508501	1.15962159895615	0	0.601628764608584	0.227392221540899	0.226798642631922	0	0	0.484515671678613	0.885896664610972	2.95105640424606
CPT0019990003	0.60830072313061	1.06773475390719	0.671218927519999	0.361777114532779	0.0399364211621006	1.00863939446229	0	0	0.833792138106796	0.576424691270472	3.75760733471496
CPT0000790001	0.697036960367483	1.05592290391762	0	0.525058085187925	0.00616259478887944	0.200339557104142	0.139371052299511	0	0.466063812723944	0.900989279957773	2.62389115366556
CPT0001550001	0.812045417966693	1.16014722665767	0	0.227047179598992	0.0642035252119266	0.365557738220909	0.0389163942440724	0	0.534304143171965	0.845736152833897	2.66791748190026
CPT0065450001	0.764714506020988	1.08662343361956	0	0.39578432766634	0	0.271423603645702	0.114019717524369	0	0.586372495849362	0.810832759068171	2.63256558847696
CPT0001540009	0.812075800304368	1.1255981453049	0.415294588170563	0.427474640546556	0	0.742810379961864	0.143044917371322	0	0.822249443720635	0.600389378820355	3.66629847165957
CPT0066480003	1.12053605555529	1.72067084742255	0.0108783470486599	0.194418170411983	0	0.735776551581325	0.0539021640789886	0	0.809515474741695	0.638908658707219	3.8361821360988
CPT0066520001	0.674383961786797	1.78867350675494	0	0.340486366914844	0.276766757081711	0.326622421881905	0	0	0.567575574818578	0.823371062928132	3.4069330144202
CPT0065430003	0.915073029796429	1.07262879280862	0.133603373283099	0.526830914352676	0	0.952400972737794	0.0639513956771375	0	0.866047218239423	0.53593458311764	3.66448847865576
CPT0000780007	0.392044828197896	1.467410289309	0	0.4530127573384	0.0104929376001372	0.698197750647659	0.0672345421726781	0	0.782588899362974	0.625327873175051	3.08839310526577
CPT0019130003	0.818623523864478	1.19828645732553	0	0.394734337045885	0.00125185254887178	0.546653506649856	0.147334308540259	0	0.694609514060996	0.72362020960655	3.10688398597489
CPT0014350001	0.380438610665294	1.24457611164214	0	0.509587087691012	0	0.241723224825099	0.0893260101879748	0	0.681275094346675	0.732940771984073	2.46565104501152
CPT0079000001	0.309410192228454	1.49193320425268	0	0.536627244416622	0.00355330341899898	0.117609027677813	0.0689622140174919	0	0.559922567276748	0.842588919460581	2.52809518601206
CPT0078990003	0.963735026756439	1.38239259462363	0.785267831157167	0.246389997787632	0.199631052137063	0.643950065489829	0.106403714139164	0	0.837812235213909	0.618848798029517	4.32777028209092
CPT0000870016	0.602544401231735	1.34947762459818	0	0.272556401602708	0	0.786870019926317	0.517509011206371	0	0.840202739453622	0.577360565830139	3.52895745856531
CPT0014370004	0.228943299512309	1.4031624518399	0	0.38715729944477	0.00257523238148495	0.811261303707979	0.460445589973939	0	0.858278944951482	0.528287481857301	3.29354517686038
CPT0019160001	0.488073043580282	1.13768621747793	0	0.428276436943324	0	0.124008157489191	0.223627933189305	0	0.558316972271505	0.834349973230664	2.40167178868004
CPT0000890001	0.60755103393827	1.41528866641077	0	0.42351155783966	0	0.264309912769592	0.0616932307618592	0	0.665621308833955	0.747958857036801	2.77235440172015
CPT0065820001	0.531665872323473	2.00332120359959	0	0.244927597604134	0.0978405144259137	0.31093537980967	0.0215931823316025	0	0.708551437172814	0.715731888244756	3.21028375009439
