B.cells.naive	0.6081279674249082
B.cells.memory	0.7480415989171804
Plasma.cells	0.8389721060655465
T.cells.CD8	0.8578882153811888
T.cells.CD4.naive	0.7924331336429398
T.cells.CD4.memory.resting	0.8667822359003385
T.cells.CD4.memory.activated	0.8754741869912284
T.cells.follicular.helper	0.8101686375130793
T.cells.regulatory..Tregs.	0.8478059268582705
T.cells.gamma.delta	0.7783280417679249
NK.cells.resting	0.811180116811604
NK.cells.activated	0.8662757456510128
Monocytes	0.8560733014551756
Macrophages.M0	0.8384719853990651
Macrophages.M1	0.8753865246224797
Macrophages.M2	0.8651525443173476
Dendritic.cells.resting	0.8886993498194473
Dendritic.cells.activated	0.8867537350544755
Mast.cells.resting	0.6802818191564843
Mast.cells.activated	0.8087918630580792
Eosinophils	0.7850122468581042
Neutrophils	0.8833818042767283
