B.cells.naive	0.6699611440412084
B.cells.memory	0.08275891550063548
Plasma.cells	0.07432130115981017
T.cells.CD8	0.49021038775931036
T.cells.CD4.naive	0.09380607698390689
T.cells.CD4.memory.resting	0.267177234662337
T.cells.CD4.memory.activated	-0.0466821184162355
T.cells.follicular.helper	0.007523339312767785
T.cells.regulatory..Tregs.	-0.08446491711606162
T.cells.gamma.delta	-0.053256157259853956
NK.cells.resting	0.06318104169871426
NK.cells.activated	-0.06778401122135445
Monocytes	0.4518920547854818
Macrophages.M0	0.2890308619751045
Macrophages.M1	0.27773070685966855
Macrophages.M2	0.15273795889521136
Dendritic.cells.resting	0.05361755845758441
Dendritic.cells.activated	0.14935630506295008
Mast.cells.resting	0.08399210231256868
Mast.cells.activated	0.1440875414944488
Eosinophils	-0.04221475720806979
Neutrophils	-0.09757021965825417
