	X1489	X2590	X2529	X1105	X1785	X2290	X1428	X1923	X1563	X1430	X1466	X1552	X1467	X2432	X1321	X1545	X2288	X1693	X1556	X2267	X2260
ACIN1	19.036972536	19.123852096	19.17385472	19.179559584	19.301629168	19.278336088	19.070352728	19.171617208	18.998516864	18.96679704	19.0492978	19.12982352	19.154158992	19.228896368	19.188442328	19.14574604	19.12628416	19.124226432	19.026984312	19.001613936	19.118023184
ACLY	18.753017768	19.000846824	19.3211158	19.535854264	19.091511448	19.080980816	18.970395488	19.158124768	19.392835696	19.289177224	18.88127	19.24627832	19.516953464	19.21837464	19.23346156	19.185863976	19.54138856	19.177805512	19.32535328	19.659921408	19.25432572
ACO1	19.227686784	18.72367012	18.705887744	18.868184232	18.981791768	19.290319624	18.910905384	19.456184176	18.9342906	19.224756728	19.245959504	18.594777144	19.842349024	19.173395624	18.713642992	19.207970952	19.259770008	18.91401132	18.808461976	19.108992912	18.759108248
ACO2	19.646164552	19.612878168	19.376212432	20.103288648	19.242153016	19.0032402	19.416702368	19.328969936	19.574959336	19.675818088	19.988702096	19.430254888	18.867051816	19.788959184	19.616373408	19.882022576	19.752252328	19.2052962	19.936567936	19.723748584	19.313309768
ACOT13	19.237028824	19.561655816	19.266235448	19.23888928	19.130729192	19.144248464	19.74204472	18.745720256	19.204074656	19.075027464	19.481451192	19.131918688	19.274373824	19.264986088	19.424581136	19.108548416	19.306751904	19.281270344	19.233862696	19.285276984	19.638271192
ACOT7	18.598898488	18.874588784	17.736939432	18.634940024	18.86445412	18.671117664	18.545588424	18.489603664	18.692589528	19.043542288	18.2193698	18.740840528	18.565587536	18.449463	17.891980296	17.925456192	18.299254608	18.538423696	18.422680832	17.933443048	18.172545216
ACOT9	19.01091	19.255784872	18.78278392	18.38259332	18.98327016	18.64712976	19.047165704	19.12475692	18.88947272	19.238884824	20.100043648	18.222103312	18.835705744	18.667793672	18.784107216	19.001189048	18.852657736	18.940861528	19.267014584	18.953504064	19.129073608
ACOX1	17.878098248	17.80610984	17.507436904	17.862741816	17.770579064	17.612163728	17.72922164	17.159046776	18.122888312	17.91917916	17.4640584	18.153300832	18.134098952	18.324381488	17.531330576	17.652459392	17.588762848	18.07677628	17.572057024	17.942366992	17.695522152
ACP1	18.272229624	18.019771	18.345098256	17.83785148	18.241449424	18.381104904	18.430202072	18.327071056	18.29347616	18.47016072	18.07879904	18.205253928	18.486767664	18.221187696	18.050718544	18.241412456	18.191301344	17.83349036	17.822534608	17.922914304	18.208706624
ACP2	18.778898776	18.952293824	18.063350856	19.244723128	18.709405352	19.441521456	18.623060864	18.344147328	18.6232066	18.563301168	18.505515144	18.68785016	19.189989416	18.397037752	18.76197932	17.651431072	19.103136808	19.144019584	18.509533896	18.492638256	18.29212052
ACSF2	18.344543848	18.703980848	18.638365832	18.278070816	18.991802504	18.064845368	18.441486024	18.289012048	18.390387928	18.499409184	18.542224064	18.411631176	18.124838344	18.837559248	18.377895864	18.18981836	18.472959632	18.701079576	18.258618544	19.170717608	18.620780952
ACSL1	18.075939384	18.728871928	18.794121784	18.74065584	18.519682216	18.446351688	18.439326464	18.133005408	18.7210344	19.583697704	18.588303984	18.710693984	18.736319544	18.593840888	17.9534806	19.203495312	19.10863872	18.408428584	18.387530368	18.476318312	18.685502352
ACSL3	18.015531096	18.190144368	18.16459588	18.373632736	17.937450104	17.987219824	18.216069296	17.876260144	17.962275424	18.31551856	18.06372548	18.08577308	18.314544624	18.005368144	18.281785184	18.118459072	18.233882688	17.794816128	18.02857224	18.162586528	18.024751576
ACSL4	17.317350368	18.149173992	18.281491872	18.099831096	18.445286328	17.816488112	18.311594088	17.992303976	17.582530864	17.921313576	17.985940128	17.850005288	17.596809992	17.858623496	17.84642404	18.43536604	18.300720408	18.030780752	17.963513488	18.43566976	18.291085176
ACSS1	17.902563888	17.730177352	16.892767176	17.124517264	17.26725496	17.77512888	16.908697368	17.754018856	17.171586112	17.236985248	17.841456408	17.646573136	17.561323352	17.335037912	17.591248824	17.80084496	17.453384232	16.966858272	17.166469152	17.75029848	17.983172136
ACSS3	18.319722392	18.473462352	18.275261736	18.842264048	18.832681336	18.222552424	18.440883344	18.883295224	18.656009712	18.140306112	19.018506608	19.36128492	18.259193032	18.722553624	18.959120976	18.155349136	18.680953296	18.837331088	18.489835336	19.15974008	18.770278624
ACTBL2	18.552611632	18.741508504	18.642091792	18.79182612	18.615013696	18.537937616	18.510977392	18.499499808	18.664625776	18.661003272	18.659471152	18.451628472	18.606735832	18.529890896	18.498769552	18.700343984	18.510383872	18.614952472	18.865358368	17.71703236	18.672392168
ACTL6A	18.45758104	18.258831528	18.13339324	18.145062432	18.320154712	18.206436224	18.418947864	18.221344544	18.3223098	18.270333648	18.234607224	18.179494056	18.281157056	18.286668064	18.364772664	18.1199296	18.363021048	18.364412816	18.212347936	18.340168504	18.27856616
ACTN1	19.33290216	19.472075656	20.037748848	19.93588244	19.449691112	19.19060284	19.39800544	19.58360708	20.0759458	19.70370772	19.456146624	19.746133912	19.476670648	19.609219024	19.536560368	20.256082184	19.724317432	19.900941712	19.7672842	19.15983032	19.9108828
ACTN4	19.038423024	19.374227216	19.339064568	19.35828912	19.743546368	19.388031392	19.674464384	19.662308448	19.655738888	19.139433184	19.249722656	21.27652988	19.391674352	20.389716504	19.543690728	19.654712232	19.586094712	19.67128688	19.505590584	19.484815904	19.625335544
ACTR10	18.254324224	18.192228568	18.356556216	18.203580808	18.463464608	18.343000312	18.231960424	18.266530976	18.385059448	18.478287032	18.259994104	18.203585472	18.418338272	18.189460856	18.30754104	18.219899696	18.397849472	18.080923104	18.2126586216082	18.3033742765926	18.255395352551
ACTR1A	18.587570592	19.114850848	19.316616384	19.180944184	19.075966792	18.945391008	19.008340376	18.86629944	19.229436776	19.148946392	18.93477296	18.774225704	18.731435216	19.141113824	19.072273192	19.428145984	18.963854224	18.762917048	18.897099944	18.804526368	19.416158832
ACTR1B	19.114128688	18.639244648	18.820185376	18.751611672	18.796301	19.038269008	19.014782384	18.993899632	18.907880264	19.099016896	18.897561576	18.82439648	19.124207824	18.576502056	19.0326156	18.925201416	18.887697168	18.447819384	18.462157224	18.762510552	18.830698488
ACTR2	19.302280536	19.605754824	19.586580584	19.411628632	19.671731784	19.262690496	19.432607792	19.373740752	19.385811208	19.520158056	19.560077728	19.512811576	19.33885932	19.665853352	19.440992896	19.7219278	19.584659808	19.318496912	19.393516848	19.542041648	19.435930064
ACTR3	19.499337616	19.666222064	19.6618862	19.435207264	19.75252384	19.105941432	19.780654992	19.591132848	19.606676688	19.712035192	19.7370592	19.669074504	19.597747656	19.834106912	19.620971024	19.787649672	19.665554944	19.496752736	19.603693088	19.655155536	19.65051688
ACYP1	18.764357576	17.89194244	17.881801704	18.19810024	17.550307664	18.288559352	18.325963176	18.092142568	17.870277552	18.30898112	18.230776624	17.851874056	18.2069069673643	18.192014972097	18.2114841420704	17.88343332	18.0708854	18.204313768	18.525840016	18.160143112	18.105208792
ADAM10	17.628450216	18.049729792	17.716123336	18.209096664	18.327999064	18.378595	17.749797488	17.897292232	17.856056	17.862021576	17.976587152	17.750256616	18.106846504	17.848890288	17.9702664	17.826690632	17.490459392	18.267901568	17.50732912	17.928961856	17.054232776
ADAR	19.407099072	19.266655096	19.428182472	19.215107176	19.481483024	19.26128964	19.350603184	19.269755648	19.187624064	19.29302196	19.209031232	19.20635468	19.327404832	19.409291224	19.233077496	19.173591416	19.425910864	19.381181312	19.536266208	19.381366056	19.213856208
ADD1	18.72982632	18.895465264	19.042682416	19.190281376	19.034234696	18.597018008	18.927665832	19.0578968	19.20554968	19.277290944	18.748701512	18.842803912	18.941867096	18.9060696	18.930652704	19.265968856	18.890603256	18.519898896	19.068142144	18.73967464	18.91636408
ADD3	18.557495504	18.758541656	18.81651244	18.997340816	18.842570464	18.659583304	19.162363664	18.692015864	18.358909184	18.92199172	18.87058088	18.911151272	18.752369992	18.809808888	18.974178176	19.065449408	18.541656272	18.489425568	18.66433124	18.748111944	18.841559464
ADGRE5	18.072314168	18.076625088	18.654814648	18.0333292	18.076376352	18.364263104	18.318762856	17.51230992	19.0207936	18.488447984	18.203090624	18.139657696	17.92512532	18.412834288	18.288038232	18.499662856	18.23475092	18.01839628	18.497868136	18.480713264	17.997026728
ADH5	19.972346912	19.672333464	19.664878632	20.048316912	19.80965648	20.104989712	19.486611152	20.735853624	19.676724176	19.676228168	20.037081968	19.651445272	19.999709912	20.09069088	20.217755384	19.8998088	19.809670208	19.85299748	19.92876312	19.852909184	19.865536368
ADIRF	19.532734504	19.691908304	19.476523872	19.621444632	18.935425776	18.691814472	18.522897816	19.879994944	19.173863752	20.223614104	18.57312112	19.04806084	18.440738704	19.53261792	18.813610896	19.278960664	19.519821456	20.926002648	19.283597848	19.753512928	19.713830768
ADK	19.089217008	18.972567496	19.227128152	19.349525216	18.78022344	19.456750208	19.419341512	19.119551072	18.905690336	19.12631112	19.714086856	19.189865608	18.891180712	19.514319264	19.420085912	18.872322112	19.515924384	19.816043216	19.357747544	19.069754352	19.126102544
ADNP	18.635820464	18.19775876	18.291717024	18.314038808	18.506237224	18.470972136	18.057635752	18.575120424	18.328860224	18.653934912	18.257414976	18.370211352	18.303565032	18.208021584	18.593496704	18.33509724	18.393778528	18.419204824	18.403425176	18.239545488	18.235303264
ADPGK	18.683473416	18.549149112	18.541983416	18.051989536	19.230383016	18.507027776	19.83781512	18.227113552	18.413329392	18.32697296	18.404011936	18.025393848	18.40150592	18.876316024	18.642325144	19.102538656	18.71547456	18.075452896	18.360274704	19.097495528	19.1346384
ADPRHL2	18.803776216	19.100906096	18.84084432	18.676159192	18.720805432	19.297932456	18.765659928	19.004417944	18.947290328	18.870810832	19.106355344	18.922868904	19.124587816	19.050847552	18.878932528	18.87946684	18.893394864	18.907159472	18.939357992	19.062288272	18.957098008
ADRM1	18.486745816	18.397591648	18.4098426	18.535420896	18.494990048	18.46956116	18.436512024	18.45418916	18.354511064	17.73288016	18.634163976	18.45804412	18.451759208	18.329434064	18.267163376	18.315998256	18.53894224	18.325300832	18.416054416	18.065986608	18.482248688
