NAME	B	CTL	GMP-like	LSPC-Cycle	LSPC-Primed	LSPC-Quiescent	Mono-like	Monocyte	NK	Plasma	ProMono-like	T	cDC	cDC-like
ADAT2	1	1	28.9384423281354	23.5439000820089	41.604791932925	1	1	1	1	1	19.9054405548717	1	1	1
ADGRA2	1	1	1	1	1	1	37.7053117717143	1	1	1	51.3936261054965	1	1	1
ADGRE1	1	1	1	1	1	1	28.8038616980216	1	1	1	1	1	1	1
ADGRE2	1	1	1	21.7053772369756	41.1685824066235	27.0244067321925	45.9666804466567	58.006514689282	1	1	1	1	51.4082534603144	40.8156540413307
ADGRG1	1	1	1	35.6830787571358	49.3748691087719	36.731911929916	1	1	261.376422137627	1	1	1	1	1
ADGRG5	43.4862445844497	1	1	19.2895488728876	29.7431063153731	24.5132587914762	1	1	1	30.3035592689965	1	1	1	24.7601288562803
ADM	1	1	1	1	1	1	1	1	1	127.002474980708	1	1	1	1
ADNP2	30.3845778523727	70.703279070273	18.0018885171259	23.9159201398122	1	1	1	1	1	1	27.0757014700805	1	1	1
ADPRM	1	41.2784739393307	28.1825169109324	26.443928613077	39.1656055927639	31.6448593648289	1	1	1	1	1	1	1	1
ADRB2	1	1	1	1	1	1	32.0731596135587	1	70.6002847130107	1	33.5889767538008	1	1	30.7824967550884
ADTRP	1	1	1	1	1	1	1	1	1	1	1	57.2532182320312	1	1
AFDN	1	1	1	1	1	1	1	1	1	53.9523933343055	1	1	1	1
AFF2	1	1	1	1	1	1	1	1	1	1	58.1710401472499	1	1	1
AFF3	147.316570632652	1	28.1831468914108	43.27796928174	32.1014784303549	30.3236053235292	1	1	1	1	1	1	60.4566452218643	67.1955606203713
AFMID	1	1	36.5816468715231	48.0997136131534	34.8643069507151	36.917704642126	1	1	1	1	24.1573489861773	1	1	18.8081323444316
AGAP2	1	64.4695227041468	18.8980796323248	35.8653257446782	49.9859805662028	55.8947020808402	1	1	79.1393579502972	26.0290541808444	1	48.699392158627	1	1
AGK	1	1	1	1	23.6834745898241	1	1	1	51.3340839963184	1	1	1	1	1
AGO3	1	1	1	1	23.2580185566601	1	1	1	1	1	1	1	1	1
AGPAT1	32.2513218174171	1	1	1	1	1	1	1	1	1	1	1	1	1
AGPAT4	1	1	1	1	30.2661417482212	1	1	1	1	1	1	1	1	1
AGTRAP	1	1	46.3706561255471	34.7197198895653	1	32.9767095143736	102.054008180515	128.975719824618	64.6809008323254	1	99.8843274059605	1	27.3030299574303	43.639680121668
AIF1L	1	1	55.9226264771707	38.632615158887	21.6563269482906	28.9075374094085	1	1	1	1	1	1	1	1
AIG1	1	1	1	1	1	1	1	1	1	126.633512468697	1	1	1	27.6210143521777
AIM2	82.0381050838672	1	1	1	1	1	1	1	1	74.5719450358141	1	1	1	1
AK4	1	1	28.0541577734942	1	1	1	1	1	1	1	26.9659655349601	1	38.1843604183392	1
AK5	1	1	1	31.3390159133273	1	29.9303629442458	1	1	1	1	1	1	1	1
AK6	1	1	42.5188802918404	35.1015532387161	27.6394702305399	27.9362397438727	1	1	1	35.1008471399764	28.389232853921	41.9522123829919	1	26.9388498723383
AK9	36.1003786917659	1	33.5888979113086	1	37.7743902236674	1	1	1	1	28.9639209046622	1	1	1	1
AKAP1	1	1	20.1736841264106	21.8208420417305	1	1	1	1	1	1	1	1	1	1
AKAP5	1	73.4102278215065	1	1	1	1	1	1	80.8714495804438	1	1	1	1	1
AKAP7	1	1	1	35.1931654857046	26.6320148964539	30.2937567007393	1	1	53.4360660722608	1	24.8882945582506	1	85.5365328069472	30.4829296039041
AKIP1	1	1	28.6365132090293	45.9453834739278	33.0091317079463	36.0894183818813	1	1	1	1	27.9132596358434	1	1	25.7200630578496
AKR1B1	1	1	21.347670505246	39.9774523188539	1	31.0557112369106	1	1	1	23.2142375598489	36.4870759567953	1	55.0962171889096	46.4877244185551
AKR1C3	1	1	46.1800303123126	62.4715093332473	102.613545854131	109.738753595533	1	1	52.6576088211205	1	1	1	1	35.4397356706304
AKT1	1	1	20.4400945699855	20.0502849348456	1	1	29.5511794692942	30.2781344949652	1	1	1	1	1	31.6625255754644
AKT2	43.1482431809629	1	27.2620484335952	24.9679917833845	31.7243092999467	1	1	1	1	1	1	1	1	21.1265095271879
AKT3	44.6823093876978	95.5842329012068	1	19.3283831368001	27.9832267038128	1	1	1	152.724895291005	1	36.8059574854989	59.399242105145	23.4736834443678	1
AKTIP	1	1	1	1	1	1	1	1	1	1	1	36.3623553637042	1	1
ALAS1	1	1	29.9849527390525	27.6297381541119	1	1	25.6134533799419	1	1	1	41.12007456047	1	1	21.3128146792544
ALDH16A1	56.1748008893135	1	16.5385411017408	31.2544140286021	1	1	1	1	1	1	1	1	1	23.6656495658399
ALDH18A1	1	1	32.9689570589232	36.6953774726439	32.5172398326575	33.9085526453191	1	1	1	46.0951149455558	1	1	26.7706433753405	1
ALDH1L2	1	1	1	1	1	1	1	1	1	81.0613351665279	1	1	1	1
ALDH3A2	1	1	1	1	1	1	36.7673559767817	31.5543186125079	1	1	47.7564703134614	1	1	1
ALDH5A1	1	1	33.8526025151904	31.3769694248804	37.161944305444	25.9496797658646	1	1	1	1	1	1	1	1
ALG10B	1	1	26.3666596897836	27.1480181531367	38.8822032071831	1	1	1	1	1	1	1	1	1
ALG14	1	1	1	1	1	1	1	1	1	63.3532582801056	1	1	1	1
ALG2	1	1	19.7965893752458	36.6403267741523	36.8352440911256	1	1	1	1	74.4444367655585	1	1	1	29.35551636336
ALG3	1	1	17.0558784896391	25.3279575616522	1	1	1	1	1	1	1	1	1	1
ALG6	1	1	1	21.5216603424313	1	1	1	1	1	1	1	1	1	1
ALG9	1	1	1	20.6416284848627	1	1	1	1	1	27.8582866086799	1	1	1	1
ALKBH3	1	1	1	1	1	1	1	1	1	32.5297308510775	1	1	1	1
ALOX5	85.4773548013757	1	1	1	66.5544023125147	40.8450618017842	69.4736400256659	114.230630265758	1	90.5222698521174	1	1	27.8438314134612	87.6598559886543
ALPK1	1	1	20.0144402604402	1	31.0585081407361	1	34.5671855784586	1	1	1	23.1234685666858	1	1	1
ALS2	1	1	39.8173050729486	26.0928201046402	56.0344309346342	26.5844136306654	1	1	1	1	1	1	1	1
AMMECR1L	1	1	17.9532182658551	1	29.1122810866842	1	1	1	1	1	1	1	48.125509943966	1
AMOTL1	1	1	16.512445752595	35.5483555465964	1	1	1	1	1	1	1	1	1	1
AMPD1	1	1	1	1	1	1	1	1	1	30.312373567848	1	1	1	1
AMPD2	1	1	1	21.1025051603746	1	1	28.3933180625938	30.8509425314943	1	1	1	1	66.7756823871933	1
AMY2B	1	1	1	1	1	1	30.2167015403283	22.4507876790265	1	1	1	1	1	1
AMZ2P1	1	1	23.5396640632861	1	1	1	1	1	1	21.4647364634201	23.3424233316296	1	1	1
ANGPT1	1	55.9063773460641	85.5145492009898	208.675720239685	466.143072625317	312.743546807321	1	1	1	1	1	1	1	91.6802402105108
ANK3	1	1	1	1	1	1	1	1	1	48.559060592382	1	56.8932512128474	1	1
ANKH	45.3783779058913	1	1	1	1	1	1	1	37.9920678994102	1	1	67.8545877476253	1	1
ANKRA2	1	76.2550621675764	24.7342754895943	18.6342972831188	29.7451905543097	1	29.0333118415408	42.0490246966795	54.5098036004862	1	1	43.812595695505	1	24.6706939519322
ANKRD13C	42.1334366507439	48.7991493050534	22.3063365834286	26.4023887126395	33.6269002344896	1	1	1	1	18.824978684178	1	1	1	24.7387069448492
ANKRD20A11P	1	1	1	1	1	1	1	1	1	38.7904387441045	1	1	1	1
ANKRD20A5P	1	1	1	1	1	1	1	1	1	58.3202305516151	1	1	1	1
ANKRD20A9P	1	1	1	1	1	1	1	1	1	64.1939816704176	1	1	1	1
ANKRD22	1	1	1	1	1	1	1	1	1	1	29.4425748622905	1	1	1
ANKRD27	1	1	24.9266216196215	22.5441025070823	1	1	1	1	1	1	1	1	1	1
ANKRD36BP2	1	1	1	1	1	1	1	1	1	563.105627518108	1	1	1	1
ANKRD39	1	1	1	24.5971046404704	1	1	1	1	1	1	1	1	1	1
ANKRD54	1	1	18.6907752896945	18.7566258959227	24.3559037704373	1	1	1	1	1	1	1	1	1
ANKS1A	1	1	1	1	32.8381809860015	1	1	1	1	1	1	1	1	1
ANKZF1	38.6866096344403	36.9586767023505	1	1	32.443835039	1	1	1	1	1	1	1	1	1
ANLN	1	1	30.3900468855369	32.1414126306545	1	1	1	1	1	1	78.6370766364568	1	1	1
ANO10	1	1	1	1	1	1	1	39.8242665018998	40.6749826002044	33.1670297138913	20.7268669606895	1	29.2985828823638	1
ANO5	1	1	1	1	1	1	1	1	1	26.7851529226315	1	1	1	1
ANP32AP1	1	1	1	23.4137734704708	1	1	1	1	1	1	1	1	26.6410927892106	1
ANPEP	1	1	24.2708823990308	1	1	1	1	43.8705134564665	1	1	1	1	1	1
ANXA2P1	1	1	1	1	1	1	53.7122124745963	58.9549416624351	1	1	29.6553266488289	1	79.230233692666	32.9190196482541
ANXA2P2	1	36.1972813398987	23.0913276910035	1	1	1	111.279734559073	129.739703930748	53.1740053838106	1	87.4970267071231	1	153.857939713664	63.1018178951853
ANXA2R	1	1	1	1	1	1	1	1	62.0496967211984	1	1	1	1	1
AOAH	1	102.224120878538	19.8370013636959	1	1	1	214.979421654714	130.135945598623	142.682495465046	1	94.1861817533819	1	61.037907838889	103.670211417347
AOX3P.AOX2P	1	1	58.5016345050187	1	41.3077342780873	1	1	1	1	1	1	1	1	1
AP1M1	1	63.5949475652539	27.0397833791211	21.1892395456288	24.8494648902055	1	1	1	50.9066294469255	1	18.8619170243068	1	1	25.599896131714
AP1S3	1	1	1	1	1	1	1	1	1	1	50.4019097127247	1	76.2882946671051	23.8241316370902
AP2A1	1	1	1	18.108329829157	1	1	33.226447048369	1	1	1	18.0985498953047	1	1	28.019247456092
AP3M2	1	1	1	1	1	1	1	1	1	1	1	44.7302669675414	1	1
AP3S2	1	1	17.7294714828381	22.3064559576439	26.661196889887	1	1	1	1	1	1	1	1	1
AP4E1	1	31.6466587154239	1	1	1	1	1	1	1	1	1	1	1	1
AP4S1	55.3655694192573	1	20.0678670950392	28.2271189730142	42.8458703203352	28.7752592479253	1	1	1	1	1	1	1	1
AP5B1	1	34.6224249540803	1	1	1	1	89.0354849401604	75.661271716459	1	1	99.3511746408835	1	42.4392087589465	1
AP5M1	1	1	22.8661053009903	29.0907361334192	28.6230911525158	1	1	1	1	1	1	1	1	29.1893373818494
AP5Z1	1	1	1	1	1	1	1	1	1	1	23.0401631077957	1	1	1
APEH	1	1	32.0393545289719	26.9621864754448	23.2588539275705	30.4503935870449	1	1	1	1	1	1	1	21.4877824437112
APH1B	1	1	1	1	27.4285247394878	1	1	1	1	1	1	1	1	23.7930083695361
APMAP	1	131.755666999985	37.6956122391118	36.3678437147644	52.1322129139169	32.9844658360135	1	52.0960253147675	196.321851745897	1	31.6355677795323	1	1	38.9900322547137
APOBEC3A	1	1	1	1	1	1	77.3168108375579	74.5348022428721	1	1	1	1	1	1
APOBEC3D	51.8498215264729	20.9350807046193	1	1	1	1	1	1	49.8892904278045	54.4604899503158	1	1	1	1
APOBEC3F	44.0852159502624	1	1	1	25.1140733393516	1	1	1	48.162981541546	1	1	1	1	1
APOBEC3G	46.6824571871272	134.85154508241	23.1280998671517	27.428879951007	31.7155814409063	38.8417309699964	1	1	217.870616064668	33.4534048466245	1	1	39.7402060247196	33.2889442414079
APOBR	63.3209718268585	35.8476914896177	1	1	1	1	71.8594472156198	87.624951314903	80.6992790655842	1	34.7495134393386	1	50.3078197079177	50.2878198581532
APOC2	1	1	31.9759916527697	52.5921462698573	35.9825776941647	58.0097872351191	1	1	1	1	71.712951904808	1	62.5290850064671	106.019821489816
APOL1	1	1	1	1	23.7716884944141	1	1	1	1	79.5386900771562	1	1	1	1
APOL2	1	53.38235903431	1	18.1963417140861	26.1703794108828	1	1	1	1	45.683380183639	1	1	1	1
APOL3	49.026249488188	79.2443589048659	1	1	1	1	29.344548926685	43.1970179886472	48.7219640351388	90.4551190815579	1	75.5082621261273	38.203084842404	34.7231423799728
APOL4	1	1	1	1	25.0592064346022	1	1	1	1	1	1	1	1	31.8694644557736
APOO	1	1	1	25.2044378767556	1	1	1	1	1	30.9766798444642	1	1	1	1
APPBP2	55.9193528638203	1	30.8175962706794	27.7381050686802	47.0005398029714	28.2446589251591	1	1	44.886485461819	30.2769282899603	1	1	1	30.3739010382603
APPL2	1	1	1	1	27.1385986888645	1	1	1	1	1	1	1	33.2869005159019	1
APTX	38.7394118299905	1	31.1380345075339	30.2894635684462	30.8814453597327	1	1	1	1	1	23.8787560059655	1	1	26.4370492594981
AQP3	1	1	1	1	1	1	1	1	1	90.7257137364085	1	65.7392706616079	1	1
AQP9	1	1	1	1	1	1	1	49.3283608573409	1	1	1	1	1	1
ARFGAP1	1	1	30.8249169241395	27.4988585613517	34.5612271570283	36.2335023203907	1	1	1	32.1402586260245	1	1	1	25.1558999008741
ARFGAP2	40.9164895691903	1	37.547079735455	50.351017274403	48.9687077474766	48.1141071733485	31.8409773648513	1	1	1	32.1792851849085	49.9680765954938	1	44.0759538294092
ARFGEF3	1	1	1	1	1	1	1	1	1	52.2950865926922	1	1	1	1
ARFRP1	1	1	19.3322645123432	28.1278331740608	1	27.0931716543603	1	1	1	1	1	1	1	1
ARHGAP10	1	1	1	1	1	1	1	1	1	1	1	1	24.317102054294	29.277995086825
ARHGAP11A	1	1	49.3895388391996	66.4413260028287	27.8590172594969	1	1	1	1	1	85.0477046417248	1	42.6353570110764	25.2813417684574
ARHGAP12	37.7070100011951	1	1	1	1	1	37.2407322852386	1	49.0344389467497	1	36.6654896855812	1	1	1
ARHGAP17	79.8888881686234	1	29.9394383983417	24.96422935759	40.0397755053146	1	33.9500202531883	1	1	1	34.2559132937474	1	42.9051047622912	35.613951337528
ARHGAP21	1	1	1	1	1	1	38.7477217595288	45.6964059743592	1	27.4787191636478	33.7580854140459	1	77.4926866039172	35.2365392420607
ARHGAP24	69.6382959567617	1	1	1	1	1	1	30.8511593540087	1	1	1	1	1	1
ARHGAP26	1	88.7875081213815	1	1	1	1	112.403768001388	132.210365181849	109.509619808016	22.5710322428249	51.9317073977669	1	76.5632338077004	52.2112544255201
ARHGAP27	55.7603108153461	37.2716734751882	1	23.3842789300885	33.9730771388716	1	61.9807865099565	49.9228893272837	1	1	21.159079131762	1	1	48.0553095210089
ARHGAP31	1	1	1	1	1	1	1	1	1	1	1	1	45.8929761170565	1
ARHGAP32	1	1	1	24.2451796233717	1	1	1	1	1	1	1	1	1	1
ARHGAP35	1	70.3541677399284	33.9115061746578	18.7644948528041	37.5389180605366	1	1	1	31.413611785764	32.5094547389198	21.5705798025186	1	1	1
ARHGAP42	1	1	1	1	1	1	1	1	1	62.7834365271713	1	1	1	1
ARHGEF10L	1	1	1	1	1	1	28.497099725897	44.9225145379985	1	1	1	1	1	1
ARHGEF11	1	1	1	1	1	1	27.2670409632725	51.3622748711381	1	1	1	1	1	1
ARHGEF12	1	1	1	1	1	1	1	1	1	112.858058006884	1	1	1	1
ARHGEF3	27.6262030217595	82.4348485329534	1	25.556206494448	34.2372516297603	29.2738803434501	42.707150150304	1	125.605108177334	1	25.2916649960374	86.5164450104435	19.4341842270882	28.6180559946589
ARHGEF40	1	1	1	1	27.8169627886751	1	56.0363522899624	62.0263805548742	1	1	42.5719921139109	1	47.0896040541773	31.6908524371859
ARID3A	1	1	1	1	1	1	32.7653991999652	47.4715201347921	1	27.8179029912215	21.1027058860916	1	1	1
ARID5B	133.101503101313	68.597836802254	46.0560530894552	27.7254389958964	77.2751782116828	45.8551049355532	45.2237158707599	53.1440903822411	104.788383285352	371.238240038576	24.6539641272941	179.896523474495	1	1
ARL13B	1	39.1863459181775	1	1	1	1	1	1	1	1	1	1	1	1
ARL4C	34.0291587844036	331.276843602064	1	1	1	1	1	1	574.108241468941	1	1	231.626865766453	99.6575158449775	64.8007207167335
ARL5B	1	1	21.601280134619	18.0712055927564	30.438783690305	1	1	1	1	30.1265746784182	1	1	1	1
ARMC2	1	1	1	1	1	1	1	1	1	34.8006914631809	1	1	1	1
ARMC5	1	1	20.5057758815639	1	1	1	1	1	1	1	1	1	1	1
ARMC6	1	1	31.8421060249145	19.7617147257519	1	1	1	1	1	1	1	1	1	1
ARMCX6	1	1	1	24.3642304112288	1	1	1	1	1	1	1	1	1	27.1005907140303
ARNTL	1	30.5538329042289	1	1	1	1	1	1	1	1	1	39.5374106174644	1	1
ARNTL2	1	1	1	23.1942134981655	1	1	1	1	1	1	1	1	23.4900084831836	1
ARRDC2	1	1	1	1	39.0688108330899	25.6666696329382	27.2696692977728	23.1967823361614	24.5267863008875	1	1	40.1849173953094	1	37.0050168884799
ARRDC4	1	1	21.9383987001784	1	1	1	29.5299393847845	1	1	1	1	1	56.8054287604519	29.0883180411126
ARSB	1	1	1	1	1	1	1	1	1	23.7910799076422	1	1	1	1
ASAP1	1	70.1748477471887	31.4871517601439	1	1	1	115.244135278192	123.604204064779	1	60.3022802087463	84.1026338857651	57.9665213743526	64.2525545080666	34.4138417431153
ASAP2	1	1	1	1	34.8989923654542	1	1	1	1	1	1	1	1	1
ASB6	1	1	1	1	1	1	1	1	1	1	1	1	35.5118281769745	1
ASCC1	1	1	1	1	27.1099599630993	1	1	1	1	16.5750737132545	1	1	1	1
ASF1B	1	1	1	37.7959087835168	1	1	1	1	1	1	1	1	1	1
ASL	1	1	17.4236915208282	1	1	1	1	22.9329437800051	1	1	20.4772326100578	1	1	26.3682238774518
ASMTL	1	1	1	18.6041930822837	1	1	1	1	1	1	1	1	1	29.2941159229593
ASNS	1	1	1	1	1	1	1	1	1	32.4994017237332	1	1	1	1
ASPM	1	1	87.932765876907	126.602460634683	1	1	1	1	1	1	79.6319327732429	1	68.0843860418554	45.5646591348314
ASRGL1	1	1	15.5261568082843	29.4456824840532	1	1	31.0333901284105	31.4568214989987	1	1	54.6681023976496	1	1	27.9418964534278
ATAD3A	1	1	1	24.8444779839507	1	1	1	1	1	1	1	1	1	1
ATF1	61.1664637529565	1	35.6073715517837	43.5040030492854	36.0468278662846	33.8422470189091	1	27.251549228792	44.0246668319338	1	23.8606892786212	53.3508981664603	1	32.7421880807029
ATF3	1	1	1	1	1	1	1	1	1	32.732772949257	21.9956355784344	1	23.5430422194974	1
ATF7IP2	1	1	1	1	25.0857119887747	1	1	1	1	1	1	1	1	1
ATG101	1	1	1	1	1	1	1	1	1	22.2066017940258	1	1	1	24.3287134502524
ATG2A	1	43.9215302826012	1	1	1	1	1	1	1	1	1	1	1	1
ATG2B	1	1	1	1	37.6328425413865	1	1	1	1	1	1	1	1	1
ATG4A	1	1	1	1	1	1	1	1	1	49.3299847173422	1	1	47.0665936964966	1
ATG4C	84.0807960143419	1	31.6566026632995	35.8111758164655	69.7171236019249	53.196547416129	1	1	1	56.4201673066298	1	1	42.8254921448075	74.7686361682096
ATG7	1	1	1	1	1	1	32.5147233186378	39.9595615184756	1	1	28.0891300568987	1	1	1
ATP10D	1	1	1	19.3110030397507	25.7124381177922	1	29.8864140161856	38.78505124721	1	1	1	1	1	35.8261505803623
ATP11A	1	1	25.7088362393025	1	33.1138369586257	1	65.0413240316537	59.4444981109876	1	1	48.0910936043085	1	19.215386284	25.5481406963656
ATP11C	46.7939847106585	62.5760451769039	32.6362160394849	31.8124974803146	44.6126810751082	27.9837673895027	1	1	1	1	23.5682497450585	1	1	1
ATP1B1	1	1	19.1871944740823	53.0897776917712	98.3353285276493	60.311542997315	1	1	1	28.5306672626269	1	1	52.4651265251252	57.1661698469481
ATP2B1.AS1	38.367694888965	1	23.6903402868752	1	1	1	216.814004116766	100.716064921003	1	43.4415674852467	108.013751428859	1	105.910566095278	48.2384927991239
ATP6V0A2	68.1071499064742	1	50.2163279358196	43.7289267193056	61.8393572956743	52.0164162376814	1	1	1	1	19.9667708846705	54.2474793715209	53.0772710624066	37.1174489940822
ATP6V1B2	1	1	39.8395062203063	42.4446275158029	58.002197161841	53.4070211999446	119.083121806844	124.666318675785	1	1	46.8831301558172	1	81.4561743521557	73.163156386357
ATP6V1H	1	1	20.6662899959378	27.9727446302508	26.8971494260282	31.6387817045699	1	1	1	1	26.4163919067754	1	1	31.1045403143896
ATP7A	1	1	1	1	1	1	1	1	1	1	1	1	39.309410449116	1
ATP8A1	54.8122926942503	59.0653546245961	29.5562466150521	41.2685470779164	51.7051261956921	29.9617111427602	1	1	49.9763709630083	1	1	1	1	28.0977676753523
ATP8B2	1	44.044574038368	24.5900204158737	19.5455595759314	39.9589231795959	1	1	1	39.2019068783399	90.522460229672	1	166.395355550863	1	1
