genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
ADAM19	30901744.248100042	86328151.07108077	43287474.928266406	54926775.03436312	188423749.92123708	95443560.44774474	21441031.673244048
ADAM28	75306252.26735355	5047319.841953293	4361211.813119582	23240092.69773105	14151416.429549828	6787552.311884489	11293759.345075531
ADAM8	14758350.02739686	26687101.179257456	52522173.316408075	139500363.72931755	3831218334.956192	46971383.28035509	237345250.06978327
ADAM9	34579036.32438663	10131804.38767743	5836337.142389375	18505512.179704525	55503070.68415371	163983643.59933007	19703541.73442978
ADAMDEC1	5783409.300410732	169586949.85301924	122617525.24121475	50131655.786850385	103847158.66854995	15022050.365912812	15321602.4139868
ADAMTS1	20052551.943498615	25680582.701826755	82476025.24409607	35905636.13130162	42685330.16420874	73894603.62327124	32868575.68468593
ADAMTS13	5264644.307168013	15577688.411321292	5404172.53148673	5818807.087411746	115821413.11381467	38092045.46875327	24051666.68941418
ADAMTS2	412090615.9142997	146266041.46161377	80842839.05636957	98359688.97506921	2106253768.24889	552976188.103681	74103099.91574046
ADAMTSL4	186287538.52327073	93314603.31143032	11619077.73213343	79269385.65555952	59484033.74007091	35449142.200014584	2929761.6714287447
ADAP1	36283293.8808837	58294990.48933618	272544437.3645704	392393118.177082	211439077.73958424	996731667.1601014	735354999.9903524
ADAP2	4727618.119421198	5827878.470383548	5147118.928460179	4529367.607179798	8888798.764042646	42302179.70354288	4113148.4912124914
ADAR	311181932.29658145	1055627549.7823427	1313190786.505951	721082310.6511441	308013958.67883	765200366.1563512	1073023361.8704566
ADARB1	746455902.6029854	403905222.20494676	532503749.8813619	13870870.03353493	374901805.46584725	29238920.197716054	309833749.76337445
ADAT1	9181177.356354838	10410422.290254092	22219860.926185377	11144101.623846795	151892775.92573664	60380399.332847685	21301706.82136217
ADAT2	18385189.67984967	15841817.61200494	18425699.13900497	15605428.543404268	6867251.187125546	35294632.285000466	22712866.843481705
ADAT3	155346417.4508892	117865339.43459143	100342956.40851335	191658750.09641	115660070.35489352	89808289.41341357	98838250.02579443
ADCK1	7136864.1031602025	23360011.638814714	40312681.630885154	25037095.428075317	6322355.3617975665	26888659.745540876	19288505.74102137
ADCK5	6130818.725486561	14388165.598153215	26400938.202522904	19100875.009907845	4387935.02469468	6933926.115989897	18950996.26825026
ADCY6	26218674.73435976	5137547.23556015	5351417.11282395	4417532.575025829	10712132.444345897	31778846.03879555	4736756.873367513
ADCY7	34201292.51462647	76160993.78589374	149023999.84924522	567348750.0858994	57262501.56782636	873366666.3086289	710647500.1963292
ADD1	6492241662.903638	8348111115.936637	8529318750.228332	3642924998.563315	7954575008.135472	3105191667.724338	6739425000.445705
ADD2	653410316.4651022	153368640.1398242	161541384.0116945	137262174.18202254	360419981.5812332	73343622.18903698	125825247.98718594
ADD3	167802036.9821588	216038979.6136029	197093346.74215946	285473863.51158494	209438418.30877241	252119052.2341601	593033241.0133203
ADGRE1	10097415.48754437	12056953.259404149	29296667.117203522	13871283.882766899	881752260.4703487	58404535.12697997	27680996.80648322
ADGRE2	7409642.8562687235	7701191.867428582	8076816.466906882	86211912.69005927	988598534.6419401	748412279.0320586	4287988.477488044
ADGRE3	4963148.147511692	4400716.451906593	3975067.8144544745	12383510.59533207	5451050003.564663	149051166.5487235	4424833.242857122
ADGRE5	159415666.78681928	1634441111.4009826	1898431249.8461432	3334999998.32911	6143424996.751903	7362008338.427115	2985799999.9516206
ADGRG1	4802070.058247727	23217982.048896186	341304194.32986534	23197718.39619574	58784338.193134226	18031813.78516956	1693833121.301037
ADGRG3	8787572.6192195	5673909.303864878	5581162.654008426	3495454.2250442905	4935433338.808499	5307484.209641659	48344164.31131629
ADGRG5	42541664.450501256	42555937.51903265	69420091.97364166	247269609.8340775	125517623.47236264	12322106.738267036	241086250.01545095
ADGRL1	6206149.979799564	20394402.912702616	23340547.31249496	29712979.091542006	15182871.766646234	37930350.740436725	4202967.018528093
ADH4	16966304.500291586	37362738.72100742	28595315.842197064	22713687.601780273	25354879.742647845	36103172.07265493	21936325.549500257
ADH5	9146066668.36263	10610175002.956606	12305412507.976377	8151412498.523793	8311500006.964905	5995850000.989997	11453600012.303383
ADI1	88921217.18912311	152492065.5045991	81150908.9201579	1045031249.9095232	48259186.43208757	264291583.20562252	128004124.98295534
ADIPOQ	5369333.276584919	83949304.0385959	14449849.61481389	43168250.00570735	56433414.7653042	35938198.78971919	56284443.743816905
ADIRF	5781247.513087039	3663612.42831343	4365088.042022413	4213842.467990285	5969694.205539114	4228682.041628677	2994638.835813526
ADK	15480733343.978233	4456727774.874358	4846775006.28054	6804637500.620536	2741450835.7050147	5797908339.925914	2696150000.792208
ADM2	6727437.892638215	4846667.763878439	3517252.7680162503	5075843.221559339	4495393.5809755875	5193738.680892655	4743718.0358133735
ADNP	1668156667.4466326	1485455555.7153327	1609206251.7315009	1892312500.4245415	584269077.4711622	928827499.3659736	1759800002.0276835
ADNP2	118452297.50681739	61510828.50333769	77098287.84009519	74319843.61022395	232476802.4281322	41308861.98224572	47289386.41044967
ADO	497941833.3179992	228349805.571597	239480625.00098354	253671250.1703128	349001200.7619845	184955416.7287915	304327249.90031177
ADPGK	1657279167.7762127	1660956387.6296334	1797036251.0295205	3713612498.716412	3478266670.6829343	4642450003.034959	2118699998.6877284
ADPRH	473204739.8348432	185407207.51852763	159894124.82514778	1008972501.1549792	1069680269.0021156	713838333.7895175	317688749.8767043
ADPRS	1398825000.701075	2079538889.0923815	2078418750.3466547	1449549999.2876656	1031301667.3538408	1530941667.1704252	1815400001.6156633
ADRB2	6596578.408906697	5891241.78382443	20537477.0066544	7612773.100626968	5589335.839753073	6699096.046155657	36204213.74925531
ADRM1	1025860833.7053651	720676110.8090502	708111250.6985273	877252500.7844923	485577500.1223712	674182499.9055306	640454999.436261
ADSL	2048129164.8458328	4166050001.2959366	3508274997.433961	3812462498.3020263	2520508333.8317466	3086400001.8288064	2482012497.3874435
ADSS2	1232769164.5935519	2382436110.4419346	2957006252.358832	2345862498.3352485	3896633334.8376727	3312449996.9620824	3408650002.9958873
AEBP2	14356736.1822671	24880667.71376805	32106350.980045937	15627246.266823495	4154871.215870304	113141462.41804028	16554111.342271162
AFAP1	6167715.238504182	29672938.736285903	25028270.692093562	14922183.007763937	158289340.0044584	55416911.91441846	29571008.62975748
AFAP1L2	2535273.307402007	6386763.863672357	2476448.111074807	2692367.333271447	4078264.137265341	6017805.262168497	4141266.3269106313
AFDN	37868791.930920705	35779988.19136171	45142719.96943475	18289111.16027186	43432370.07566444	25330397.24956594	8875827.612629851
AFF1	23869972.70782161	71342140.68451259	69588678.48435462	33885602.27167896	41155716.709533654	68644972.89482462	63765624.971392125
AFF3	142924960.80182296	67595151.67033848	72757268.81349654	58599874.98252043	293322875.7898179	77643097.65761009	66464930.129637234
AFF4	151952745.37056002	132183722.14260565	122093500.09790818	126876500.03694175	139710522.34432068	133851458.76981716	187742499.9425561
AFG1L	35553406.27601238	32198477.912137475	85408687.59020507	24582116.56238626	15177163.382892339	35265135.877090074	41745350.16568203
AFG3L2	2905988337.230097	3260449999.1668935	4450774999.656669	2628224996.9917483	1156358334.5109613	3668133333.26218	4135199997.1599455
AFM	22455126.773119718	43073700.20034425	60909061.14610782	91750351.0304017	126306833.86924295	99463291.7687912	142201340.6732505
AFMID	40535377.86679628	3799617.2658429462	10287702.584182689	25291281.891761173	6614399.9285371965	41896121.22486317	12080723.92310067
AFTPH	575912166.6869248	370253805.69871	413101250.2412567	515803749.55970985	508824917.31039286	481306666.550046	338502500.0902806
AGA	10336935.276216589	18904737.65836225	75022290.02839209	16775668.929483907	76947862.69246107	101286835.35217242	43198895.04842973
AGAP2	341973500.2088957	1300172222.7587957	1558362500.3321142	237494999.94155005	593273416.5630727	64082916.62879828	1056576250.701926
AGAP3	5075076.214660151	33322283.864831857	14690160.546535417	25350183.63666593	4882991.25962223	22684036.99809533	37847721.28892023
AGFG1	1391196666.2031608	895929166.7742704	1176829375.181362	934043750.4208438	1358579167.214948	2083550001.299051	941772499.7021236
AGFG2	75803463.45367879	493897472.22678524	597346874.9981574	59361249.947242506	296742507.60874707	71766766.75688688	409592499.78501034
AGGF1	7269656.089307825	22550151.398018923	12033348.83296664	25442822.431889176	6557668.385522496	8856059.619626557	13854477.282424929
AGK	2507390832.825273	4567794443.642477	7059362496.438974	2297612496.131012	784249999.1855459	2503716668.8778224	10075374999.872988
AGL	2893847496.5509686	4484194444.345894	5790274996.350305	2422750001.318555	6202716665.92374	1537120832.4106638	4447112499.057434
AGMAT	640251432.6493756	787430833.1326513	568122123.9625006	69305857.3942151	3562977589.746084	420638621.6592162	655076822.2373836
