genes	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
RUBCN	88704507.72677518	28459858.831245348	39400450.50090247	100330674.31914139	8824346.555453815	37269320.70070701	37376626.54624331
RUBCNL	42757563.193374544	11050651.438847626	1967003.636617856	57776595.46425693	2893411.914302533	15092895.729458323	1858159.6778548388
RUFY1	1656068968.819312	301766026.7575251	344396549.35702604	442325937.73646176	686424640.422223	497536632.5428407	450114141.4003476
RUFY3	97651325.08462659	21399517.705203813	17766728.494565893	600564837.3606174	103299594.10736988	123026411.55301559	72040400.01322858
RUNDC1	18566078.214584935	17269921.096835487	21215991.35911517	34372516.75644413	24011011.983388506	26623569.472068638	21295187.663135186
RUNX1	29286661.95734797	24137199.15364623	23994248.701518867	13758997.706976531	60429153.32417538	78401237.87876366	13741578.492872773
RUNX2	2516525.4215548635	11447291.491654657	34825822.0834853	169923370.65929908	6938976.34096219	3972105.426462422	45169521.50611377
RUNX3	15229528.318378754	32263427.03418854	127030895.41777009	35462243.63900088	20109535.549438562	24038681.86882318	109170638.9004721
RUSF1	279804981.5685922	183061988.65831894	224640500.62440675	317857072.9945983	251703946.23024553	96250809.10436918	225847309.12950316
RUVBL1	2017038947.881042	1211562471.3042505	3058830567.240315	704189442.8472049	2195273268.3157115	355298950.5489955	955346784.0647113
RUVBL2	2690375558.887045	1365578874.7861738	2341867621.7263966	594581611.7036575	2116447356.945709	715982127.120345	1002034278.4660963
RWDD1	163263163.5148081	274082188.69367206	127153914.58256157	124801864.755865	93577877.8993805	130367285.71729884	76503843.43561147
RWDD2B	9134099.809788758	4083485.005923094	4374277.148772877	7057563.834452561	20182899.945376277	6628654.180573452	9134958.977540957
RWDD4	37516850.506832436	66536659.055076584	82161798.76115005	70647357.12677613	191163942.76614574	102267042.61463493	39612840.37638599
RXRA	186363053.97263807	563620531.7142093	114170921.87061936	416227250.6781179	240088281.71477225	984762745.0038096	81237525.70581484
RXRB	94791584.5630205	65710764.838376366	55410172.74517727	30149554.670903895	69351867.57102972	45585740.21095913	48169889.27914959
RYBP	51229016.5559144	37191348.61153952	28332410.057699546	69508376.94876719	25107928.730814315	38487900.268942125	44786694.46567014
RYR1	3695387.532041273	4205071.913944298	2901358.2772311014	4009609.989913155	256455285.19608834	2601161.3534611478	3240602.855746571
S100A1	100011176.72019878	5426172.823269903	2691766.662445352	1949357.369895809	2181472.1468204246	3305090.424384905	2476650.3995400146
S100A10	760567430.8308702	3155647828.261681	3239194816.4698353	3861302918.3219957	509225587.58517075	2599862118.8736224	1595771516.2385368
S100A11	1720347913.7378685	11287209759.709074	4280776792.579348	6490989347.807383	14683698127.962603	13833160754.351997	3900317040.72429
S100A12	2009704.967396253	3540062.4588715243	2129630.655553905	1481916.9367826923	3992131442.1632233	1218389496.7903736	806969.5093748334
S100A13	25108701.78633995	25247616.19237095	40337320.678963	29862646.03001008	3789175.9752264055	7817770.891316685	79018118.82870539
S100A14	5624087.293857605	17752386.714604683	2618075.595136388	1791874.1777462808	3061407.171368897	2588055.3074354813	7431306.167362278
S100A16	10499593.49841263	7787773.879757282	2823973.3813570016	3035259.994906395	9308980.70876657	12549322.232521947	3321267.7314171894
S100A3	8201484.949384393	2773929.1333228	2278151.301023854	5574674.827148767	4318289.162550264	3024664.397232076	3799755.4728361284
S100A4	4163658408.580718	12091495920.67944	10143864735.715767	10150967192.61641	5065834492.288456	10231549287.770576	17429886420.668495
S100A6	4862316232.602295	14578852126.454428	13137031311.281904	9471154703.13948	31345485389.858124	30970321182.354885	7263668643.536426
S100A7	26924225.234989878	326643433.9593558	142456069.9889175	32652434.842102814	46660070.86272772	31379032.974782463	37726769.93812063
S100A8	520695158.4802171	989893121.9611543	146908943.6122805	2271548721.318737	179888585208.9691	58634253730.93886	1185329303.222257
S100A9	713188524.8203067	1643190396.0392058	307591116.61464113	3218592003.3712015	243228370880.48825	58043934938.788506	1664939968.075931
S100B	2939255.749431987	331903841.0265202	3750368160.2781487	142398932.92946282	8457666.78174581	54105407.83564493	26836843508.079723
S100P	129269416.51687168	11764339.855106376	83980439.31119032	53378149.02636156	18969120283.920258	617903225.013708	1697473.888664612
S100PBP	168550324.31715772	16310829.408324255	23853260.56533224	21260533.899056148	27012401.986189127	4116426.896726821	12475118.576115897
S1PR2	8554851.400801817	1562181.3386643268	4445411.392574307	1871256.8509437903	4734303.882283227	1684860.3647111887	1350398.65126638
S1PR4	67779605.86732416	61352484.958981864	37038792.53118532	30016701.597866584	189283623.32705995	41103671.237272546	38023620.902074926
S1PR5	4832698.656212768	34751398.62376922	37501960.13320886	1373463.3816900419	4417603.917132968	18294783.773781568	42070472.901275195
SAA1	39907789.714097016	2186251762.8172812	175024344.55787927	212821626.24106285	344813033.58125734	342456024.1308623	191566130.34183693
SAA2	8185223.662758938	494668395.787024	73656673.05546558	32724090.416879196	140535591.87459847	68314752.96890996	21381351.890182912
SAA4	42744813.38542885	2489046894.174664	1446238475.765942	480550834.9526921	2469525136.2902837	1125232231.8260934	23058447.113006238
SAAL1	155268276.79832813	86553982.92100175	83266557.54804578	113740320.05756186	124929512.25018203	71478141.28297669	57416679.06981686
SAC3D1	2723313.9563371893	16314460.66034874	12478082.923083154	15817784.192295954	17920095.908461735	4322738.583322791	28910769.397589825
SACM1L	1581416620.4436648	1146649288.0504618	1250327669.2021	1413028727.8090773	1649637390.948603	1392019325.3166163	4777288256.083382
SACS	176859672.6442264	40975022.17837774	60077324.42557998	46892365.302500084	838008248.1810992	109342665.51981664	40297215.20064609
SAE1	2714614603.5528116	1085543992.7826824	2445300991.865228	612785962.116534	1328513360.8091035	651601262.6239569	1114236994.543771
SAFB	1476098987.9794633	575253805.2336874	590719357.7451224	326501506.47115153	365049815.15853393	342625392.92927915	308085381.70384824
SAFB2	1919372291.2973742	1012812139.8063208	1292657169.758919	517209873.84027994	1398407821.375446	738208606.95337	457181380.5431591
SAMD1	144855796.74028388	342213854.7294843	102546226.56860511	92962072.42246738	189065207.14296508	529017760.51971287	90679647.19508518
SAMD14	2172234.9001491787	4629893.136908143	2287283.5166131156	2856035.313885592	4263872.5090975035	1622890.322785982	2680932.683053419
SAMD3	16535457.779664358	3854939.652579103	4010846.142861117	5931957.597985346	29547577.044768993	1257594.5178541571	15300990.153939763
SAMD4B	2725096.9536631857	13025382.132885143	26006883.450051226	17884540.91432499	9446792.66790498	16368015.844904488	28783855.63442717
