genes	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
A1BG	13614594.434113426	5228592286.715626	1099283130.431329	790107074.7738875	1173338800.978304	419956797.7824607	3618814511.7458053
A2M	34641665468.049934	36838511249.30554	14567902279.806866	8721043024.765617	12370399869.268875	5099501012.437525	1401923979.7369041
A2ML1	15660993.469691504	48095828.771106295	15478755.797813173	47080030.232054316	1868229.1281401245	24553037.792189162	11479098.017111054
AAAS	352557573.1346119	422596261.6364	270908500.77681774	166669597.9555684	351417267.7546923	332239167.9654968	361673281.30712074
AACS	72687720.47863251	44324581.697452426	82741154.65386578	362319490.80171615	100341222.59713681	164798361.65576625	183714857.6151225
AAGAB	43746063.47303099	37491375.20931515	45132084.1071591	44125649.80507771	17100396.176766187	64387736.61839137	29019712.80467751
AAK1	245657080.40382278	850582703.5165246	1168808678.8627622	225888294.18449107	492483991.7479699	169872072.90599337	648226056.4821492
AAMDC	212176213.05292636	146599438.05761278	150192042.3995551	211893574.57639617	390740473.03898746	193593382.0250501	99957207.96187574
AAMP	238615515.58743867	137637538.64176488	125164009.69343235	154465447.9768369	431810248.0261706	190614245.35039073	115162988.06892318
AAR2	52729114.78019564	53249432.5786741	66685556.64497608	75752906.0779296	27996544.387590017	61949818.68335685	18401283.896704763
AARS1	3679986023.538492	1199503638.5284793	1621926922.0706158	999183455.0373803	1176820765.6606476	1091412110.9100778	519853707.5579784
AARS2	442763634.2484549	290655305.34306115	404865877.08598006	112589077.55325507	108204324.44224407	319619400.7132579	322199016.53545624
AARSD1	107640380.40045127	148116050.5126756	196510915.6207306	102568774.74259236	46777851.61277702	105640806.63216971	108236265.93242835
AASDHPPT	311157789.7756214	181597701.14744234	275762349.7645661	296924156.4766448	237036851.39764094	178855396.60469964	213462499.42989028
AASS	210188893.37461838	208358509.94774204	358672317.5553338	103504328.20153955	62089397.373360366	72970416.7371415	51775055.915172346
AATF	291035551.0645535	345536538.55484647	574501191.8736906	73085330.8645578	1098392355.8745995	86800803.40701222	313782189.2611783
AATK	8666319.626751754	2783121.013155907	2717522.843078841	2632779.6786652124	2102936.581758561	3636571.1806406924	2786726.1511149523
ABAT	668448086.6821958	410080077.4763148	322449526.0128174	61685045.418925576	114397027.28324863	89643898.826265	415741908.10029876
ABCA1	124447672.88224407	103181631.99571486	58590188.4433436	15101093.522636916	69503676.27119803	342209075.144448	43886005.637517646
ABCA13	1171713248.5032334	605597763.6795065	289217110.26713634	1316469623.7125392	1023950925.6749195	254720399.72765663	3086756334.061518
ABCA7	1120815.8441753034	62689615.77698033	26408072.870301157	101960458.12076852	88035437.89426328	560099999.7046108	102291442.99247937
ABCB1	454413810.4502144	70615950.2077226	1109326023.6365771	19172395.734251183	74323363.13042991	24383482.491144285	1499479342.272786
ABCB10	124302443.39959046	142673451.26523617	67150799.27012487	81972167.5482877	85059813.0974247	245619766.9342327	280200278.35162735
ABCB6	60229468.081188254	46029986.84137807	41501218.58161162	37591388.13035243	103555136.7112178	34551956.69689242	48655466.318472266
ABCB7	643822230.5866296	255688441.6511369	237129932.97284603	171879707.46984777	168640473.4063926	393379546.33553606	393717825.1849809
ABCB8	142634302.37206924	148548383.09372383	58650182.74101706	87651942.33348389	85205626.38078085	108931885.38379493	49981845.16073828
ABCC1	111692729.63514502	237952783.31207794	218374787.8989433	157505379.52280912	3702553101.841589	296837934.8060892	348800918.95699435
ABCC10	12404999.841567162	23303255.993179552	18252138.758670896	9197091.635207595	17728557.625273302	18358737.91562397	15882151.086127589
ABCC3	150927033.7491108	10978133.590275941	9091124.52076438	11825920.112079924	8770471.989312192	76240223.35948546	22322082.22097452
ABCC4	32032646.777525917	158873246.8106645	65552156.48477525	89805984.03638838	35072014.57781575	110637815.61778075	100652639.85261533
ABCC5	5649691.652528707	2854979.963946178	2618358.922357781	1369692.8194572325	4268563.900032797	2180946.0053503322	7256865.047544773
ABCD1	133768177.31187336	61716072.49290345	76352775.59226872	384470193.6682175	278027887.6362581	559852590.3570646	83485968.12789369
ABCD2	1102020797.7288659	61560752.60920527	118347474.93023571	39421769.35144026	101851423.05185197	63319716.061337	32182003.72532328
ABCD3	274871991.71507293	261098315.6431719	268114696.29301405	237370363.58821547	166713565.66341755	512296362.5602522	250337339.07235456
ABCD4	13173464.859538974	3020013.4306365163	9141826.149578001	11398095.081689436	35590988.712376006	16595895.205769658	18274854.67372879
ABCE1	1221599363.1509254	1033567462.5631926	2262176245.750539	694233071.8869897	400119686.5625665	397325421.7506828	833209138.2422018
ABCF1	1059433043.3216558	1149213072.0586836	1201135028.2913842	480115820.4976301	657967787.4952444	331244582.9807917	693834286.2369457
ABCF2	437976376.7652436	424386711.5268702	480487334.0522643	377135222.8983524	211960296.56846282	435539986.88754016	295281145.2583489
ABCF3	196949443.69104537	279435616.7847656	439080238.03193307	127391873.82984307	288655038.4972986	254865047.0856836	187593313.6601617
ABHD10	457629687.93921804	65268391.76992034	40606559.83457163	39699510.67319108	52680363.908596896	67039896.21867919	42368444.67674224
ABHD11	206739152.92773962	314574871.08413064	207467607.73008662	94973833.69350606	115732483.37346251	515919450.04823774	112407330.05850089
ABHD12	91800130.84654835	113998356.88648717	97309571.29975969	191454133.47049838	139579129.0210726	324551516.3646295	339239792.5439352
ABHD13	19754508.815688625	27362693.790226374	30249341.964456517	22225521.5067705	39509062.00754224	49175965.40405607	24260166.70254272
ABHD14A-ACY1	126536852.12328117	72179675.80000523	85430069.83519058	150746472.68952596	62744769.474938035	149038131.44664067	239158439.6079196
ABHD14B	2906950775.3401155	1970474429.6042335	3333659789.382918	1632646029.8114982	2786466188.895061	957319977.0010859	1809820925.5979788
ABHD15	6255978.18938494	5351319.7784219645	13228393.545341842	16059854.241015729	4018326.5641442854	4582318.08587329	17012093.856904026
ABHD16A	214225311.96032777	211539886.3069836	109793215.30091797	92601890.59167023	445056248.4227337	483054146.8659636	257687114.54228872
ABHD17A	208536775.82276583	51646765.03406977	123379524.92958762	24372337.612340398	22998051.615501214	28120540.826270305	440206556.6381395
ABHD17B	100008515.73550196	38812182.152967475	37076742.11822477	61175840.803186476	1216501963.0675466	84795876.21339224	70461520.78155498
ABHD3	2042605.0293045102	2996737.947639376	4249374.722748047	1906881.949498095	30960608.536351413	17460337.49887065	162152019.12209904
ABHD4	3080898.406917359	5591266.171228127	2313628.0080301347	3096830.2050670288	23328331.774263844	4896894.301770831	2568845.767105204
ABHD5	8123186.290329911	3391432.6045611827	2013708.8252201586	3615113.981363102	218638356.27630842	9189675.819152685	2441270.1644957187
ABHD6	57557828.231147334	16638061.967110755	18993573.873491332	627981213.6138077	31686666.834548235	893798700.4213964	28092007.233189758
ABI1	836185925.4654152	334546231.89304113	237331192.56768852	1653680513.351254	2088032494.5339687	1006022630.0813394	674377295.906207
ABI2	25500318.995407805	7978414.662285227	7733571.115094031	105893528.88241675	4232334.016253648	5354228.947416898	25257177.3565875
ABI3	914794606.6781739	481187090.61943483	739378241.7141669	1708551280.1147192	1615584877.163112	1422966312.2417006	2198124862.0686345
ABITRAM	6541734.608121716	16937623.784626797	16081060.396951918	20023865.18853926	5869043.867829341	18538173.700388063	33810145.039607994
ABL1	57075963.31304351	55775653.7467647	37755529.98833623	46147838.28463648	167943241.92515683	76665578.16590163	29198760.841827888
ABL2	20802940.77768714	8130290.288131271	9250011.249215221	8167130.019754938	23834457.463933907	25486733.559300147	35927210.212510906
ABLIM1	51642860.64322016	244266425.06247735	459753593.59543175	4243161.718448145	16262385.112657506	8820575.141309114	24627993.73050534
ABLIM3	28647942.246573027	116211735.28226562	115294001.89694378	7095563.512316982	81569811.23360202	15395652.328855481	12861362.282338124
ABR	197794197.94043544	359336434.45415366	492035556.91373146	780383752.0216285	245697358.18393043	456305047.6013379	275537872.0563752
ABRACL	3788628229.277393	4268669433.6828294	3652748028.5778823	1805693355.5816274	4116825426.1406507	2275473173.8957567	3892668069.8434496
ABRAXAS1	271548754.5583283	130928756.16358908	110917386.1943622	36816164.47477337	529171099.36139226	24460649.54449814	84136489.87426186
ABRAXAS2	542471559.8707926	190138478.19691753	188318112.03494698	118830141.33025871	385184057.88074887	155843001.56269085	106109322.5712518
ABT1	156336797.17968768	125845067.16694741	108767849.66731791	38571445.599583834	125122713.06247465	385283890.83204776	97466537.77352403
ABTB1	3862389.4143646653	5359193.042519273	5153923.74515227	4157328.3657341087	3320758.7084058756	7198812.271670233	15964219.649595972
ABTB2	8111657.1008448675	710710191.1289905	37861950.29822065	3840132.613404211	49893214.564771384	9216597.452876808	15663655.551719712
ACAA1	1006082726.3141314	532792993.44085467	379760275.66473854	2393051528.9854426	1565897087.3735287	2062197992.518662	529865805.763867
ACAA2	79816187.77801405	104000121.31004256	122368963.58200036	97058466.47999734	107869897.47645119	494607084.4643124	173734946.8883615
ACACA	410407878.3477226	152794610.3557317	90926541.66479851	266166970.8712039	447110876.7597259	106162608.59562999	211056147.93973377
ACAD10	64264973.01115506	79827856.48222502	74256677.63880411	127002210.02096757	49350774.02527827	100685634.50092968	27947694.085971333
ACAD8	872866471.1056831	337251087.31693166	693727508.2842284	481897101.3554356	437144478.13083684	611613268.9911674	449502242.3344107
ACAD9	1127872521.3751886	637938770.5019072	446120582.8869752	503439929.946984	540297026.3748143	886657158.4249072	451909701.6834598
ACADM	3548717075.883028	1274048861.93451	2589051717.206579	1116407172.9755538	1090144035.0811214	587049181.5159363	943039851.6713736
ACADS	1122292493.3274267	1374955375.831691	2314503689.824064	907435105.3007609	602804585.424065	795796103.1797596	2220943882.555365
ACADSB	893450333.9035451	733467092.3138456	783894571.7995732	314271735.69152206	279900203.42301947	166759513.5401382	447738056.7974351
ACADVL	1998026495.0977776	2147718132.3278565	2436699702.593825	3186118188.500682	1491818090.017744	4913695617.999469	2524315978.0662556
ACAP1	1626117962.508207	1821394655.9836643	2273674137.932311	471891494.0434208	2236249276.407112	403559595.7944963	1012417088.8864744
ACAP2	1015124133.471442	418478669.11785305	605652359.6636121	321520756.4666392	955475626.8205202	687579093.3203708	380691231.1869614
ACAT1	94918417.84472612	97989078.41366532	129464761.38532396	52645283.104092084	311491756.082024	94570884.87485485	94772001.03285654
ACAT2	1423694956.5405028	1010974479.6656415	766359667.0991552	732089240.3153763	1330024743.4385226	453668392.74482393	1051634964.3867437
ACBD3	431957852.1425331	197456396.9775391	198114123.32823825	204532134.47136953	265135919.47301003	309542608.93261623	161224597.70348024
ACBD4	4546224.623582416	3458895.7984707044	3005033.685988235	4429904.25672849	11602712.869873293	1354236.7767002091	2391409.6604872327
ACBD5	63916503.879047655	136929681.58940798	127547335.46272238	144095912.31698444	133066583.24065034	197293127.50137797	158403336.09417748
ACBD6	22046771.03157351	29900272.4008139	24047285.32813246	13563993.614027174	66749071.83699532	26171639.53199556	37683808.60170436
ACD	204338057.0522008	84195353.63728707	74642354.94383872	25105785.620150708	36961848.912235774	54344459.302659735	123095579.5791932
ACE	44711435.63451737	59075466.988168605	264143815.74988076	3644860.714798359	19391452.25075064	46232419.950529024	3351142.840565226
ACER3	5727870.529238961	8894341.833062911	2349235.8894202947	19133638.4237871	5100341.67655357	45341576.92496853	1306130.3139746336
ACIN1	4284386350.210494	1693831632.9132226	1690665669.0450156	835024957.488482	2465598518.2176538	1183942957.3161042	1225865267.1546125
ACKR3	2274319.8183452035	3893149.3216918577	2761300.9031693297	2548425.514050598	8924468.997901581	3607482.028811678	3276749.5683128634
ACLY	5949231081.294944	2230749968.851764	2843630194.3064346	3685040041.970204	8807282435.548214	2567495729.5781164	2753496599.375998
ACO1	891786316.0390831	473990666.6699806	1260744949.576168	285379755.1229716	4682893366.368287	547192421.1917713	345782540.8617306
ACO2	10806160388.58898	3309576933.167046	7080051434.908174	2188579692.7527075	3980259842.6811504	5178191049.188573	3337724063.337418
ACOD1	5604285.916109685	10638863.3925395	1343432.5429828851	2031999.8372708962	4816508.659783306	16191123.205920886	3232182.8644298883
ACOT1	21076164.22484307	50919600.792999305	96767445.5974169	17977349.557216015	4548370.228256222	17542751.599115893	61472260.14653219
ACOT11	81788393.1271522	14035400.88847786	23454283.567796383	47485106.29098874	639670751.5390517	27495201.788027517	114338271.20019928
ACOT13	391734880.4114307	330975802.12185097	660552307.2272817	191159046.63642922	187069303.57437092	300174195.0892375	568081860.0181904
ACOT2	789889811.2848178	447955014.08905756	519169236.44785863	263489896.87461334	357363507.59006715	155496671.90698874	415562440.57414573
ACOT7	155517651.70604303	68234831.71106279	52491651.7644058	134601147.5853067	34601881.13025209	46426147.95483541	97827162.55763894
ACOT8	208388511.07188973	153955280.1709626	97530989.76105295	174128093.8051266	238657778.56961408	350497829.67755294	152185489.94046667
ACOT9	1697762358.1054819	1789042706.4613874	2129869558.0656724	653454480.3967004	714607261.7458155	2621702513.2602057	912911065.4267344
ACOX1	36536916.230966754	101178244.95587525	82099643.41768035	148792605.86589074	1320991054.8956244	294961217.6842779	46965054.30265953
ACOX3	211565579.67811227	184643996.88292187	281184140.7252771	777820815.7415493	268480293.0284619	238758029.98327938	99268952.2738978
ACP1	9062149.970644709	12995783.481161466	9361052.270386597	23168828.38251789	14792724.473602435	11645079.38138879	25770278.206329964
ACP2	22292134.75176557	148509881.87530884	338907745.8806893	131425492.82068293	469309714.15806955	948074370.3248334	208514919.26315016
ACP3	84578408.50509772	8231723.311319623	13887396.955641437	1054058874.0929289	1720045472.1775293	456941348.76826215	75048101.07308365
ACP5	83831736.52670996	387407794.3282091	131813837.72612569	70748081.25050691	734723269.6957676	224179873.8307034	122154836.7177446
ACP6	29312698.2310626	280985854.1599781	505161113.1588378	70955296.17663938	116297939.17506015	96342517.65702474	46845478.01337866
ACRBP	4133311.3965404034	4805799.642531538	1670186.631768468	11605250.23274861	3001417.7625651727	29870284.32572291	2129107.653202961
ACSBG1	2985680.6302600824	4493277.166645324	2906570.1918733474	2702121.46403253	14517882.166337354	29762456.496088047	2699698.850961872
ACSF2	890954230.679297	126162461.91496547	125012643.58366254	1877874677.4319339	636687501.6845899	585662987.6840703	137973435.6160594
ACSF3	46631613.94996053	33563560.29331058	46950194.63409527	21226719.60592087	45659734.73678133	75228947.26308107	18295564.529217847
ACSL1	27279080.69776958	18245620.276986085	15372210.250241134	15624093.942717152	59768776.85826106	604580711.822338	33523895.985480115
ACSL3	738873099.7449996	284503583.7949138	366410127.3727325	1562961558.9533067	361715682.58698565	653847499.4620246	451091562.62949383
ACSL4	311990567.92568403	397754130.0668022	437281708.11084104	321355565.88768834	3661160679.0275383	921244799.8853621	438344467.3355722
ACSL5	572902921.3866777	375558629.43099266	471285603.6604325	383798946.61932653	524164948.2662683	277945501.58038974	589839937.2012053
ACSL6	78243602.83620928	41258304.0834189	48720814.686388224	46690289.29331528	14102009.54917269	4536575.504725202	1341212544.5166266
ACSM3	17834669.20892336	71257226.76444209	76571602.7055889	311503659.2325199	91467529.68953234	71915571.4474632	66393943.40791094
ACSS1	455556197.79259014	318708122.0224143	352097845.68537974	480183224.30526716	682114680.5688807	685141816.9678224	1144897296.5635211
ACSS2	37642311.16966874	91222178.14620206	65625518.647218585	444098564.4744364	719120893.7040013	662429948.2347232	48839006.72580607
ACTA1	5421653359.260505	6897987058.069606	10910603655.513525	5218243870.2626505	12377546446.868631	7093516472.475404	8064343907.659871
ACTA2	7521511.426301308	14406915.551159227	2888559.6608692366	9285808.077607345	16425994.599870011	6758260.092707857	2036929.0438652597
ACTB	219738984.9617212	81582406.8124001	56772184.36719578	31058517.240875497	2342986999.744072	968753535.0513617	44494906.44938104
ACTBL2	1865387371.8447297	25022589726.5211	73649295876.07861	363702817.039693	3187671218.082168	3015688900.0070243	3716626180.0254726
ACTC1	5421653359.260505	6897987058.069606	10910603655.513525	5218243870.2626505	12377546446.868631	7093516472.475404	8064343907.659871
ACTG1	90693757.34702913	84110241.48499134	168883271.2431317	87220466.92669596	977394653.1795034	258185649.12269643	130849700.59654145
ACTL6A	1862633766.3503132	693250990.1773714	1391516618.4181142	373570944.69104564	1167427324.2534206	273036273.23166823	533888189.17907465
ACTN1	2230823.1702161944	35872979.87477184	49440700.64435362	17884853.64334214	103825660.05624013	22797065.251141824	6786549.83462686
ACTN2	1326918380.6377597	78786268.87377879	204621007.9349645	1036544.740065467	22910033.275486697	142033214.56428188	103098515.52685332
ACTN4	356988705.2542346	1004129278.4454854	1460344614.834571	2710855353.504275	1685317996.882897	733766475.138727	2972204018.764289
ACTR10	117020974.09774904	199489509.18857956	183784794.54314297	110250343.00564072	214087858.40815353	112390738.24922362	154666876.65129414
ACTR1A	944916887.9883556	829742025.397586	1221384151.0450714	658881675.6345977	2606293321.855092	999233768.1894014	785552210.9479573
ACTR1B	354737157.90004784	403596187.8608453	455998374.6504104	213166568.34322375	727430172.357696	307426206.11977834	232203339.44219777
ACTR2	10310172533.847555	5470482228.078175	7341363924.878428	4278366380.094467	14382588438.319832	4965598099.182325	12753592157.005562
ACTR3	17441075765.48355	10154220896.465593	12575025306.415216	7781628946.973831	17695580376.957066	9387970311.072945	23985997432.425224
ACTR3B	58646365.33260409	32212662.765448257	58704437.107683405	25732636.16507034	98033637.57751834	21276146.405265227	57665425.61707649
ACTR5	395160015.27570504	127448943.5380071	165757216.89173773	58820175.14641588	59378844.83991573	91068402.78460194	86121438.03659718
ACTR6	23722805.158308256	25067636.245206628	33511335.76044746	10809121.926239625	194747633.5150139	31300189.34537475	41228250.86511272
ACTR8	131865605.15906973	73272868.25631382	107584874.0347081	37826150.26278437	707463772.2296715	91110375.07203205	66571586.869662076
ACVR1	7790044.695266856	23481462.490245856	21170135.23098796	15451248.93500137	16366783.346639657	17328986.063309778	5652546.47826553
ACY1	126536852.12328117	72179675.80000523	85430069.83519058	150746472.68952596	62744769.474938035	149038131.44664067	239158439.6079196
ACY3	7117264.549549493	9003945.75467168	9403003.352173334	579526471.2373346	1757473.8599245565	15203517.51533151	9646875.581838429
ACYP1	286527620.89326316	182548164.93302876	283031775.434151	170368255.4666964	411942308.9828422	96573639.96974541	144231253.29015324
ACYP2	291564286.0380789	67040227.56199906	100086583.54688613	193881569.84154522	345504292.85462916	66240073.60096204	52099591.78953186
ADA	506683920.27987957	2039836000.5280893	1498761064.240789	9801951051.206543	790947921.3693357	1669306756.8534021	1650742547.6603582
ADA2	334310192.08771896	322350664.54863214	801937959.6162449	408530282.39203626	3829283011.888921	3123969785.267244	601484502.5870326
ADAL	28281464.139215034	144459006.9047363	95011161.36130856	54026438.90673957	65877686.52365406	13407392.484689368	52123119.37448053
ADAM10	473318330.80365133	351391821.76368856	447991687.7656994	257691268.10060707	2136758964.4129465	930103928.6935043	918905211.4892405
ADAM15	4030870.2303962754	37689058.78733026	15636529.944273377	67774093.81642824	36811155.36361548	56760729.05620411	38796682.232717074
ADAM17	89355891.0059281	50458592.28039776	49807728.748933755	100232551.5675473	61187868.42377342	123453180.69769445	60629304.340872064
ADAM19	41263809.55691539	156564090.74564087	107289675.8826316	44585273.04863303	124272219.54691108	99853742.20587316	30639196.972611334
ADAM28	120162889.30945608	3342271.8797112308	3728396.961029443	19885725.630113024	16315322.310834952	7037079.734756487	10043223.476424122
ADAM8	26735134.15340946	20828153.097962588	39524563.68681894	150859171.79565677	2143649655.8431458	43708207.3499955	130048510.7080827
ADAM9	50761039.266348615	14138262.843528168	6553280.35549158	13429626.926255926	86329470.78933623	156607796.4642445	17970125.35102887
ADAMDEC1	5115227.358241582	120719167.52049565	143442365.498628	81852950.0827988	137394233.24387702	39347776.80413515	28889670.085303187
ADAMTS1	20581895.371032845	81540453.7746514	126454725.89672633	45149766.37819379	88350527.0464621	174439766.5079101	48864833.189304546
ADAMTS13	3087226.8876116397	35385677.994448304	6830342.23239565	4017231.3052068315	176228114.44178492	36359382.3149778	36711162.96773252
ADAMTS2	923710536.9180938	317973162.6054805	183485812.87899253	152283393.02491587	3263220917.007582	344447632.0774999	140495471.8536473
ADAMTSL4	416791975.3516009	232888829.95708185	13091295.204514455	60952333.92041516	69200080.60107721	29665689.3930802	963502.2536163838
ADAP1	29008962.69380439	80537079.00846952	187465002.27976862	426958993.4379924	184547297.85830224	452349769.5633576	688219662.818014
ADAP2	2723960.6778822336	4418194.093789808	4769314.446174914	4751372.356643224	7418953.084592995	38814724.64398493	2021390.6668459477
ADAR	235943416.19609538	246949166.22004202	311819210.2125695	117627465.06659116	235261864.42057675	371877122.243385	437215211.4428362
ADARB1	836205974.9016593	163399232.1470813	155508027.92298573	17300274.532854374	325748007.7534723	30688269.66569687	141001472.41749603
ADAT1	10892822.75398815	11072041.669631269	13853885.786979528	11333887.535016824	489944494.4952511	179287911.90422645	18890394.466485776
ADAT2	26794735.03898586	12947322.385395046	10614598.677753558	8468587.87741818	2736666.5137188383	107270539.67593192	11366530.670559539
ADAT3	184459535.21247455	76317821.89015038	72661198.35411616	69493526.7252984	194006882.31560004	90848508.81878032	74303366.29620111
ADCK1	4777459.046687614	21227184.066077	27053870.674713828	30635541.540474474	3592712.959947974	21035648.46298592	23170432.72118252
ADCK5	3096538.925231453	13271525.672837751	17785942.480577555	5418183.8841546085	2954672.413245974	5555680.787165628	12165952.794610173
ADCY6	25193727.130951416	5745592.396605492	3104737.7211049115	2562198.879787375	18476237.299420077	46828527.81647592	2070331.863860048
ADCY7	37184885.24963907	59548263.388555676	92169124.50719099	289974472.58316684	61587376.453963734	417441037.9984902	310489177.06161803
ADD1	2634295652.4895954	2635892190.3260565	2120901396.2301114	632312040.6797854	2173052889.6515145	901594663.8608769	934705302.8419142
ADD2	487129055.4950745	190397895.82794428	159588887.24613845	97252718.59367415	359924452.7342138	54868956.41125821	91451152.14959121
ADD3	67003647.70474829	120489797.07269856	132326777.0699647	179703397.8565788	104555081.66099554	173014448.97457084	293946502.6423453
ADGRE1	6966795.732638858	16421553.166855257	42350160.36785684	20381460.805978313	1505250265.2566683	53358089.44966965	36238783.99524628
ADGRE2	4871942.537748065	7059126.652764177	9456223.868173176	98733602.24118607	1301021592.3777888	1241092460.4962819	2495753.313850964
ADGRE3	2076967.8618837511	2964976.9256672626	2192218.6928006643	18091450.30591127	3389566267.3317327	110630034.68833649	1345521.1149239861
ADGRE5	81286693.14620781	380140725.1776689	340671325.98193395	628375250.6262228	2326728048.090996	2285678154.172645	359804710.6512014
ADGRG1	2623476.3222815567	58277927.34124151	621889666.2369623	34065777.41752934	108353504.45900397	26230652.195699222	2019813552.2877445
ADGRG3	11458530.812566789	4992384.581093149	4134223.9468801944	2019644.7630278869	2830996088.972169	5177150.061197088	52519513.828614965
ADGRG5	51163737.87563383	63066440.57790334	60857011.7513888	244594710.4180109	204441985.53407046	11265505.54342651	47674733.55624855
ADGRL1	5123463.898783489	85243474.33357294	55435102.50312663	52932099.073348835	18846647.55388771	39113611.17405073	2956726.1724549485
ADH4	40068058.029671006	39519979.29171696	23547581.92808815	20503375.842415858	31876706.33856386	42355964.92713484	18793326.33920239
ADH5	4134338068.1885552	3814659682.313161	3401647513.807019	2200440658.5298486	5153070000.87889	1687580098.1587107	2277812246.1746063
ADI1	97775174.35685991	157656181.37003425	53608628.17669018	508934556.4875083	48924297.50213497	121069064.610966	85269186.56042846
ADIPOQ	3707859.052737837	132904290.9273915	26328989.895172834	18655676.782116544	84853158.61074856	19205744.35739402	102864780.84031829
ADIRF	3656372.176080609	2164952.7051816946	2324606.1243841047	2160698.835400224	4023026.371760995	1554813.1190558083	1740715.3818292546
ADK	11830296845.624899	1130334959.2141469	1868076084.7067719	1333743048.0825295	1593195451.3546772	2311107045.435602	959760717.1510929
ADM2	3723178.6089032656	3548664.28496396	1911927.4991980498	3553231.478386268	2186842.0123900236	2040206.0625877995	2195544.3870907174
ADNP	1039299354.4777989	368380604.5978573	476154118.83639616	191963659.167106	461528404.4871975	400072605.556561	472652577.0914896
ADNP2	186235175.16260576	75401655.47038378	59232738.22133193	47498156.43120414	313610813.32365423	32951330.05208866	43997702.62546483
ADO	308132125.72470486	146490888.42727712	108384452.1485467	113756234.93374948	247989456.74396604	92689589.29465179	151235371.8327697
ADPGK	1084694655.1843128	317736961.6915901	404943744.5405621	681642287.4565798	859631943.5663754	974687661.6666505	318952091.3964725
ADPRH	575400256.9938785	218476381.41060576	101096850.60436927	774180725.8921359	793780048.6727777	245852776.47340325	112750837.56040241
ADPRS	1077107106.3030818	662485081.8062683	751007025.3226289	300650627.2924879	397152329.4900836	335557004.06835735	380430765.80140173
ADRB2	5121922.354481375	5294832.021130528	17158956.0982614	2765266.469984459	3295201.916643907	5049755.30736251	32264906.11064305
ADRM1	368714397.34482986	141021126.86110622	121299649.37711617	153266461.38720232	303946406.3522586	216910393.91656888	129888374.45141616
ADSL	623191152.1691537	944664126.5042018	1416424540.4470048	817730135.2135665	677330035.62566	792576412.4383291	674093358.2776322
ADSS2	530976640.2772433	612473627.0855087	1112566606.3229127	982199013.1462721	1349828323.8135436	921994818.6992376	490310172.8307199
AEBP2	22924095.780354593	33593385.405618496	47903550.214732386	32870390.733251695	2551086.957750232	136038524.3969329	32472936.43039159
AFAP1	5919321.395112022	35070825.265346006	26144986.6150662	24492043.437717058	240903275.1039481	176237684.97642004	62787207.98417687
AFAP1L2	1253893.5434934446	8304993.819545228	1683737.1866752708	898771.8490894425	3286444.6865876797	6963448.267946683	3288439.233442017
AFDN	25847830.591182433	30461105.683304295	40422707.181784175	11228503.714953937	81977529.09604865	26798891.033168584	4102006.6092278566
AFF1	23682502.889890615	47010230.04385894	47377482.20843981	28910015.707500737	44441451.32112764	67509927.247457	22801835.08167783
AFF3	116954328.48142698	105412323.62300076	74360330.36963867	18692756.53704284	297104415.9248065	104045310.16886789	58224700.087239005
AFF4	99382813.35607688	76771689.41386059	55837948.91172189	60330114.27784091	139754753.7476231	83782610.88488907	54129427.95657799
AFG1L	32584632.068293616	16615577.747797582	109039383.6481094	12998744.457694517	13804422.291610243	27965836.851528734	23066923.28869971
AFG3L2	1709613872.07238	892027314.1109526	1495272091.6211228	443501181.0387731	519641464.3492517	1084988270.084219	1974562040.326123
AFM	22121029.187368043	68353440.99984829	72176940.37431088	171431812.9724993	76343617.95214821	118938410.27176462	150505927.61770225
AFMID	102681161.38878278	2367951.6479125656	13616673.519534921	17926961.051028643	6488886.945489178	26552901.514086783	12445762.639596917
AFTPH	434051478.8876141	113868058.37968811	99949273.00760327	207205536.91718456	169279170.67766905	155084362.38792485	60027337.190779634
AGA	7759217.858812232	29833882.21058072	60856097.923707455	19357970.643643726	208031462.69927832	150670194.0703843	83046401.27702929
AGAP2	146578022.77959615	324017671.2277666	403152447.74983495	53841067.20891372	360411601.5745169	40187685.699106395	192630366.76148906
AGAP3	4677959.080911187	32448723.02872136	17332888.546552524	13280972.76615764	4011719.295911326	22967337.518379014	33391563.59747446
AGFG1	709006669.3624068	238717876.92573884	279733288.2428065	158941912.80878487	562618473.9136038	733880494.7091948	180232767.08939537
AGFG2	109791843.61580308	182803034.27053064	280142998.00387263	31297568.748526983	217540148.522474	109428728.35083	78630185.80561526
AGGF1	5240544.751496882	20063762.419672314	11246403.121390177	22721062.142371945	3701705.4854355124	10214956.923790088	13376722.684006117
AGK	878563465.7869291	1288716998.8521738	1441535877.2955518	524367493.9915513	502062023.86058956	743875315.9093815	2541792651.838969
AGL	2054565786.5993128	982072177.7671435	1886733739.817416	1029678375.4552593	2541473932.1516523	491725603.70512545	738414807.3829703
AGMAT	705990776.0268114	592050670.7303059	684102190.4224031	136091790.5650617	6186824674.540223	562003868.3855451	796141165.2859287
AGO1	1213670377.4832141	700763713.6972392	1003297555.7041097	325639482.67613924	1163970001.5038793	414040528.6000267	253137402.4073219
AGO2	270630592.4358926	354887120.770201	346876969.2593332	59641160.57245892	342037355.41921544	253927290.83527288	389063125.81065136
AGO3	85950421.19635218	118189831.70177513	124815002.38908228	37833794.959579006	103295208.95309591	34025697.61700105	141966351.3478767
