NAME	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
ATP8B4	9824148.6148847	5658590.26705597	5936193.53444494	27407999.9988605	103149500.119356	13909500.030548	7423971.38682568
AZU1	1577867.74400877	2114089.8499502	2077549.99481071	2751799.99946602	17868999993.382	2500950007.13988	960449.99839054
BACH1	61005000.0286384	17175280.4216542	14786000.0291311	122506999.73282	76278999.8361852	888030001.104535	29796000.0445239
BACH2	805574999.491048	43070000.0463955	56708499.9381744	15531500.002194	9552869.6830563	13921703.6356582	96841999.7716064
BANK1	759678605.741161	2590376.38948266	2997464.0987823	5852390.00433183	6162164.02605726	4719916.84049508	4832672.141785
BCL11B	24055499.9891746	3181349998.47158	2637050000.35854	23058499.9730089	35338500.0449338	13117500.0134086	257775000.375551
BCL7A	196325000.315766	45993499.9884587	68942000.0899381	218249999.8143	7071820.40343939	74017000.044801	39675000.0103906
BCL9L	42980999.9494854	342330000.224049	618505001.013299	7004238.42175691	26358999.9657307	76793500.0436052	339034999.764974
BEND5	15854000.0165541	3100260.12135635	3021542.9938598	3437622.47684795	5887839.87648361	5266031.92152555	3775624.52604453
BLK	1501799996.08362	6011836.59340895	5166128.63301145	6298650.01055711	9914833.88642376	5951907.52520233	4918744.35775298
BMP2K	366949999.858006	125069999.89979	74378999.9315916	1229049999.43786	555569999.68554	2932649999.61823	261830000.459275
BMX	4175004.16780462	4516613.72562143	2737917.37075867	2519843.57527999	57022499.8421072	6150052.50383824	13504969.2580579
BPI	127084999.856894	91141999.7743836	91428000.0619352	50434499.914671	32811499979.348	105885499.932607	146239999.596172
BRI3	4832225.98948447	5792184.28995867	7941845.90147209	3903635.14663877	47454500.0835902	65167999.9607049	2895642.94625663
BST1	2667650.00018519	3823589.62404696	2378026.18570467	39594000.0325253	218410000.272216	2283299995.47915	3645400.00363858
BTBD11	3774564.09478698	113069999.938155	154825000.37634	4082485.91198715	24445001.8427311	66967000.0507156	3298243.88012514
BTK	14171000009.6885	9552799.98661212	7094450.00053163	6758750005.6241	8359749986.91543	3973749993.91349	11425499.9805044
BTLA	389989999.456792	107990000.123449	69062499.998577	76683500.0888647	6266959.76171937	8713998.21579228	15172255.8039419
BTN3A3	596329999.980645	1685799999.56609	2805849999.99372	258714999.983181	108154999.936368	355439999.528306	2457999997.26697
C12orf45	43956000.0351282	37308000.0620359	33040999.9581809	499224998.989067	3599337.74513515	42026000.0618671	38563000.1101798
C12orf66	5296195.08963791	217079999.766073	161405000.099922	147750000.044818	6190482.21519942	185900000.227128	66546999.9064387
C12orf75	5737762.17657878	189545000.026735	479784998.877596	828925002.475543	28084674.4135692	36948999.990856	440754999.809962
C15orf39	7590938.93214164	4943545.26584226	5172427.40217344	70382999.8727557	30262690.5910051	53617999.9059026	27988500.0125914
C19orf12	10604173.895005	19551999.9423938	57509000.1121005	15224683.8486001	4819230.49254409	6543507.61139585	56917999.9134693
C19orf38	3934603.42913968	5041405.43543055	3965367.04689351	29172966.7924796	186175000.186442	393279999.983853	9824497.54454263
C3AR1	9892174.08913837	4653682.84595434	3598719.70789537	3827820.29250886	216234999.409238	27379999.9873673	2782607.08919071
C4BPB	7607801.56885818	1112150000.21031	154859999.682198	1086914999.01801	1192550000.05817	711249999.382049	33120499.9916976
C5AR1	4080276.7193346	6719814.38655822	10577776.2799708	3206772.87024199	1219799999.22358	1465749999.89768	7945548.31618462
C6orf136	4773916.17214135	25893999.9921371	60798000.0723661	3862926.23702027	7191843.08116636	12139999.9937963	4977249.57688718
C8B	53152499.8895889	898194999.450079	36707500.0505878	1539000001.31496	1902150002.80377	504944999.262771	23626000.0295001
C8G	5727846.54338573	229680000.124207	24663999.9715487	154964999.582291	425119999.839179	36789999.9663284	24403999.9955154
C9orf72	4174344.34706383	3755971.72311955	3743134.47609048	61228500.074343	19441000.0155289	310895000.593421	7504781.53920285
CA5B	30421000.027395	978490000.214692	945114998.122224	10740034.2164389	78377999.8612906	90535499.953591	497210000.653117
CAMK4	35700499.959498	2221050004.64045	2020049998.87103	37284499.9444908	44783500.0471993	47366999.9171401	150015000.126986
CAMP	2524101.10824659	950885.001704873	82329.5000277907	4594900.00258196	2248500001.15772	1544800.00158076	373610.000009803
CARD11	2311950002.84073	2253650001.97649	3358949997.68975	2034414994.30302	50673000.0003754	64742999.8379966	3638949999.708
CARD17	3618033.05449517	50553500.0997094	4841925.94364919	5348819.64814487	7642717.91818096	5204173.67502378	3289046.00583545
CARD6	3323026.56004553	9126085.1147195	5167804.44549985	17311999.9929613	42741499.9881951	296590000.17531	8517044.50652276
CARD9	5036462.24463111	6493200.00636894	4050741.96870819	249445000.13897	69938499.8436444	859919998.19507	7541966.02572054
CARMIL2	1683699996.96758	3321649996.61871	2675650002.87246	643491998.232699	425944999.631465	76943999.9654673	721284999.313728
CARNS1	14235661.2419492	4246362.94638168	46835000.0535907	8461658.10592161	4672501.87681847	4803799.8874952	67538999.9627793
CASS4	5783849.98981648	9609849.98162039	16238999.9748039	77580500.0549937	19550500.0122114	11933499.9949078	13070499.9898875
CAVIN2	8323444.83238198	4936014.5900929	2611868.1300817	39123500.0878214	6779289.30965323	446639999.505797	6841798.79767835
CCDC102A	25684055.3058148	29139000.0079581	82869499.8874559	18887352.7864875	7542699.44817962	6631300.78781929	80253499.9263435
CCDC112	5300156.41197557	3280466.9885096	3827467.41126011	11264281.9053661	7129201.00302469	256945000.804326	3603314.12410119
CCDC32	64046499.9375694	17617499.9891905	12210000.0101543	8524535.73867513	11180500.0189542	13758999.9560557	26706000.0830849
CCDC50	616580000.48037	17725499.9890101	5525463.76834722	9992190009.66743	10716150.0181029	12547999.9918327	135419999.985596
CCDC88A	13131742.2259971	11594670.9451755	7946634.49643701	337249379.969054	18771514.9509226	110617307.335283	5258353.45200473
CCL5	16602034.0305663	11295999.996387	385560000.003864	11639883.3040198	53672499.8935195	12180222.9105339	58813500.0595917
CCNDBP1	5196788.5654407	8425785.28358762	4608924.31934762	2989001.15706006	172250000.235108	10779087.9686327	3564980.31514868
CCR3	3606817.92665076	3451306.62411469	3516927.89739643	3619463.11740221	371480000.401699	4766949.54358811	3930349.65085197
CCR6	352189999.219818	48485999.9330011	36202499.9716519	36722999.9598653	12704631.7651782	4364569.15868967	2978017.98678714
CD101	14475500.0196353	79038999.7709711	732090000.174496	1074344503.10869	2517249994.44011	918744997.942331	11485999.9906441
CD177	4681005.50291763	4246448.01843421	3456620.40555263	4487242.67544138	99649500.2421848	5050500.01109162	4028737.7030869
CD180	4642450000.63989	3022718.11917554	2817169.51323095	1218711503.78504	3502749.99752465	5904399997.64432	8348601.70694771
CD19	1352699996.48811	4553317.67466207	2645344.25165535	2708743.91971168	4630078.64581108	5223134.92189563	4894608.53080281
CD1C	32195500.0533239	3943942.6187441	3373045.22306457	731179252.310227	4625454.52352664	7942422.59609638	4234680.67633696
CD2	5837840.84480596	969865000.654936	1197700000.85685	35438999.953826	60331000.030492	16409499.9544489	2504650002.74135
CD200R1	7273974.57868914	10765422.8225502	9283119.54233517	16054744.589136	165364662.529443	4967727.56445178	6402078.50186647
CD22	6626600009.53643	2498550.00146429	1179251.79089826	63264000.0099214	3406650.00413842	2167850.00209924	3687232.26702629
CD226	7189734.67183	279935000.616373	340970000.894474	18777500.003466	10429406.3252227	136455000.123717	847520000.720601
CD244	3843043.4009392	5846060.0587146	50458000.1584943	18060000.0163035	66352000.1369536	73767499.8628592	197020000.083965
CD247	11908676.6454606	129940945.2191	120692817.033709	5649534.47390399	17311368.7731469	8798218.60508448	126235935.263545
CD27	97917999.877242	333404999.736373	314845000.233832	4637475.97735373	4237428.53808917	6540897.57545034	30152890.4958893
CD28	6248231.95954523	428199999.17299	210234999.63641	3349679.78009481	10412792.0739329	5972714.21595317	10690235.6477775
CD300A	18124553.2483295	19679341.7649607	26352500.0346416	466345000.029373	991120000.787785	1090044998.13681	1459300000.96499
CD300E	3240235.04872406	54303999.9474573	66211999.8895119	10772265.5620597	7806102.40709852	262635000.265914	8506449.13142643
CD300LF	5836555.73050614	3263826.76752076	3303879.33418363	44662000.1056954	206145000.436211	307870000.438143	11520042.4158214
CD33	5492675.89971025	4685220.51003923	6665704.47057157	70675499.990562	465045000.39965	1062859999.34779	67217000.0187014
CD37	4800100004.74708	283245000.058854	485090000.593269	379080000.819723	385174999.110345	348130000.418144	503870000.076156
CD38	1398749998.24811	284865000.106476	96385000.0780989	1205000003.44902	377574998.927291	533405000.528793	3481449992.70247
CD3D	9843324.27947988	2339600004.02168	2344650004.38854	3351146.23334626	6830493.43299963	10735676.820463	4671309.16038431
CD3E	4579405.67715959	6492349992.11456	5676349998.80901	4935134.45625651	6201230.61396846	10000620.8596392	261380000.118677
CD3G	19510598.3138296	3120099999.03672	3109149998.2708	21440499.9935875	20477500.0313139	21195499.9616089	24073000.0450859
CD4	8398754.81245739	6082900008.67752	4699584.51380435	960820000.242078	4179700.00111952	226899999.566689	6395690.621347
CD40	1207550000.45801	5326716.55619411	5015204.13972714	10519499.9751223	32504500.0211519	42100000.06123	7905807.37394017
CD5	21565500.0074375	6929300007.61405	4211449986.55665	145055999.605849	10440428.8177259	45280999.9971428	40194999.9814897
CD6	29002499.9643031	3469200003.87022	2493149999.20423	4901028.90366258	14779000.0249273	4870488.75058418	50466000.0660089
CD68	4399305.87792834	3161498.3515996	4698745.3824662	494119999.360853	7976084.9934174	1200049996.98733	4332722.99175337
CD7	2774110.83354787	334125000.22448	586085000.794279	7859746.92904971	84712826.8347148	7301002.65772972	1999300002.45928
CD79A	2596699995.96383	2878759.73634841	1779288.18360259	2243260.85755022	5276799.1364315	4928764.30965606	1677500.00507126
CD79B	2559350000.5875	4741852.36023445	4056316.27171614	14003499.9843768	8964181.88707751	10059834.5637422	13319791.2575092
CD86	6006345.50233906	4192179.42521119	3312845.96738063	22027000.0040524	6156700.25624588	81819500.0272956	3551453.90716253
CD8A	4811714.46454122	2952299.99269384	6997500010.3511	2022392.65636026	3693552.68812265	3020099.99810973	146334999.88829
CD8B	3903869.76976197	4193392.51066688	428754999.921627	4623287.87546792	10814850.0236428	5408570.44760554	3046812.23742873
CDA	3028447.8651224	3991216.72808967	2576902.05149808	3983906.00296627	3190700005.41967	1434949996.38042	2801334.96613647
CDAN1	258480000.120807	32600500.037348	53726000.0659144	28472000.0525136	37482999.9676355	5252376.16922284	22122601.4743619
CEACAM8	2994370.95400143	3005304.5461114	2825315.88942944	3760825.8877747	3151849998.03274	4950228.79320334	2963142.79133487
CEBPE	5507245.0073229	4339439.00654769	3101806.97257347	3604931.1136758	186869999.660986	5802002.78941211	2435085.54077402
CENPJ	7098032.29672899	53314499.994809	115385000.073356	61098999.8294005	13646822.0604404	29848499.9839346	165185000.147794
CEP131	232250000.366013	4115688.85975149	38576000.0287834	114655000.227208	25432217.1729605	38322499.913725	87053500.1743234
CEP78	20868999.9709818	72324999.9340899	166164999.891303	27852999.9693226	6146927.87240109	37638999.8814619	257254999.504795
CEP85L	7457091.88236033	6740295.60900487	62980000.1140523	3887598.56887954	4531463.96647053	4941112.91103215	3363736.94943026
CERS6	5040754.26640147	24831500.0833701	26795000.0204041	319284999.702597	22002999.9632017	101161499.97939	29444500.0049386
CFAP36	3736671.28365122	70690499.93442	51996499.881631	15659925.5641442	5391087.58933778	5223363.38519434	3892999.88636572
CFP	7350649.69786428	9926449.97615796	27957500.032187	28309500.0621247	715425002.115211	132065000.170349	5109307.00484335
CHI3L1	4212620.22351506	2394203.67887058	2836985.19670457	806752.453764098	21754000.0027232	2966463.39936136	2809125.806971
CHI3L2	6165989.6531158	7944474.21016781	3031855.20844169	8033199.99130963	6142115.14058316	221214999.477338	7369431.50791899
CHP1	211179999.975659	408024999.374506	415030000.939892	1243790000.5289	2289099997.12172	1514449997.20261	304635000.017895
CHST14	5006492.26581693	7317121.21728863	48184499.9882167	86034500.1934971	8132191.07011271	103955000.034814	89102000.0810739
CIP2A	45280000.0280274	8704850.0197436	42404000.0173207	158344999.994344	53283500.1429355	33217500.0079057	28919000.0013543
CKAP2L	83126000.0446304	5390829.22830904	4970481.9797384	11923282.8162178	4792748.87913738	136465000.159343	15997361.2451573
CLC	793185.000361807	2685550.00053509	2642549.99930573	2296455.57398074	116119999890.151	11022499.9927345	2020700.00463009
CLCN5	5394400.82110262	4774316.19133147	4062152.16457391	90897499.9509951	6363219.32547088	41591999.9079165	4304662.90095813
CLEC12A	4688061.87229499	6432882.37475348	10719142.8748045	78930500.1458571	819179999.347251	448460000.811464	4200329.26238539
CLIC2	4906781.04253774	3518388.2655357	3332059.22871445	3486995009.20141	7456950.00421305	791859998.334904	4987899.98993573
CLYBL	713079998.654893	1121050000.48277	974749999.32582	240644999.699484	34123999.9741392	94882500.0311272	408610000.628574
CMTM7	68266000.0537261	5370459.40105601	3457353.35368675	5184621.43713979	5749949.99752846	14097999.9694262	5849698.0694591
CNR2	9545249.97295864	4113998.00986977	3706396.74162053	3377699.32446681	20367000.0530285	3865909.11652272	7370787.79614733
CNRIP1	3546082.39864969	3550813.59349596	4547533.6014646	5248614.64445894	28413500.0404298	5060107.99585771	4446521.53814818
COLGALT1	205685000.01627	245069999.915727	289210000.451757	1539754995.07291	691110000.396184	5248200001.65172	275710000.226838
CORO2A	4453596.13027691	194674999.88481	156675000.190941	5548440.42090797	772020000.436694	167255000.303344	22093499.9437842
COX18	5721190.59545651	4741044.90377248	5060596.56534537	5621317.98864336	200700000.015975	114325500.070133	4774418.96435518
CPA4	6133047.75361038	4112159.50713357	4872240.25478297	4810456.85791882	5542930.96707936	150834999.978654	2931285.76866428
CPNE2	8104816.52273688	17474000.0189579	19059500.0486794	13092000.0075226	234309999.960198	395830000.467227	8585781.3702826
CPNE8	7197483.05736085	24472500.0470972	6268171.22317922	48774500.0014827	89560499.9373409	237680000.019555	23838500.0330073
CR1	73186734.6920141	2726468.41687501	3043156.45335574	2391411.62452408	251721877.068088	356081663.644999	3583801.77988067
CR2	3885400007.39242	4300850.00819123	4196826.55409813	6535779.42848731	20619000.0185431	12960500.0018611	8841649.98890191
CRACD	55868500.1144624	3400561.4305519	3869774.28850031	4818873.99317903	5699435.85809867	6021355.78040151	4015655.78072562
CRACR2A	98335499.9194813	109440000.139632	179674999.769368	43646999.9020844	1889649999.86781	158845000.107473	507740000.034273
CRISP3	3464953.02359659	3192899.70521689	3657319.5508071	2773206.43261914	93985000.1823868	3355795.52025158	3072043.43300569
CRPPA	8382611.16003531	3546619.67139783	5558853.13986897	3061917.46146875	24138929.3751707	4155281.86508752	4311708.99493704
CSF1	6247470.61181529	4455940.91760795	2638204.47027794	4041282.24540918	99536500.1508204	7343003.8278273	4565128.10505019
CSF2RA	4750214.212094	36441999.9886162	25429000.0323411	221980000.239842	81605500.0526707	208475000.015142	39629499.9857573
CSGALNACT2	101214999.725443	33849499.986353	36089999.9424157	115265000.014591	61303000.012038	426750000.50641	80927499.9935451
CST7	5177630.69899912	6493037.90635647	642124999.094849	22869103.7044656	59565588.2594195	7700516.21974869	1020019999.29959
CTSG	6789349.99587909	912131.392565688	2506699.99696596	19981500.0093566	21258500055.8367	4966200013.10157	2596440.64336909
CTSL	3463920.11532316	32312500.0014317	30715000.0235426	3911268.96697787	5646538.90740738	221064999.958535	11718999.9942162
CTSW	3991149.99486584	6870048.89761556	1089850001.84688	3040516.1215885	4849317.62192594	1621924.04539369	5431449996.73685
CTTNBP2NL	40759000.0843074	3452023.84187136	7998204.04970584	110205000.041482	5797403.84841876	97212500.1974914	16451000.0473502
CXCR1	6507122.48946886	4541726.74163412	2442803.69580579	2888067.46379338	233069999.386853	3096737.82005018	24505008.4731634
CXXC5	119279999.824622	5208696.7544085	5821670.82742873	10443152.2311815	5282738.3239049	4031773.27175644	167434999.895805
CXorf21	19410123.0011251	5025933.6624237	3944443.58522057	72690000.0049585	5592257.84230677	25017500.0346201	3392901.18784793
CYB561A3	726850000.764014	4331630.82237095	5823727.68553524	10532219.4770151	4698559.31549122	5649174.69449057	3390948.94131787
CYBB	7154799987.43463	3158099.9942054	1945450.00269351	20053349981.5117	34425499999.2766	43909000036.067	5209599.98533175
CYP27A1	3267204.27953424	5275556.14693064	3975476.9173244	17627499.9535966	20314999.9692271	1014405000.61719	12958500.0002305
CYP2S1	5367833.7261252	6038380.19248777	2697242.14816998	914053498.834153	4778521.13700982	302750000.376331	6827336.48061962
CYP2U1	76494499.8117493	26667000.009019	49702500.1556923	292680000.7867	5385463.95402028	30721499.9975652	39024999.9060516
CYP4F3	2058795.00456133	1428000.00259674	967684.999312542	2184870.00536206	290885000.461923	1310149.9973131	1283674.9287754
CYRIA	543630000.155573	10320499.9948554	99600000.1838617	1487449999.69638	135404999.879885	1772699997.87641	1120600001.0176
CYSTM1	4515951.65308077	4212049.99436473	3716020.15045615	7789893.60673541	14022999.9979007	4005666.5051187	5581208.36753462
DAGLB	56319000.0273359	26869999.9603303	53006000.0101312	685340000.088991	957384999.509972	1872549999.81242	95195500.2643103
DAPK2	17841499.9691063	6270260.3678449	5217349.99873748	42878999.9891186	192795000.040985	8868500.00957836	7256183.14043747
DBNL	2730753746.43021	273442004.987193	258993518.673785	952723151.115988	673535117.578156	415984663.263371	365159067.65632
DCD	837980000.597298	74317000.0481856	34971500.0578567	53199000.0607854	81797999.8234461	5344248.92290403	13873661.3824302
DDX3Y	312924999.778816	660829999.002576	829199997.6654	216682000.374973	133364999.816104	206619500.073328	215165999.543055
DEFA3	785254999.545571	77458499.9161317	14341499.9975109	1946150002.18923	99133500039.0634	2455799999.75214	100168500.080673
DENND3	193369999.858572	44104999.8769513	24691499.9275953	57604500.1502126	1777200003.6077	1089080000.81632	379210000.437313
DENND5B	26167159.9413782	4716021.55158766	3721732.79549088	2860633.34164979	3547828.0408873	12970818.5342491	5938198.2618976
DGKA	4865050001.99578	19489000016.9107	11577500010.3898	2475650003.41716	3065749992.98485	1739899998.59209	2063249997.04579
DGKQ	14098271.5193489	47833999.9753267	198295000.198705	57971500.0917031	19901653.6304943	54498999.9781257	752575000.425229
DHFR	39717499.9632525	6536876.86733709	4865851.12051151	50183499.8412836	6898314.05196678	4170978.08912634	15475499.9586798
DHRS11	15202811.3957324	35894000.026214	27995500.0094767	34699499.9405795	353220000.68757	10428801.0127208	45979000.0482405
DIPK2A	77963499.8570534	65020000.0819196	48392500.0763178	267734999.259342	47955000.1048764	234679999.622792	130240000.190877
DNAJC5	234889999.837314	132735000.056735	225185000.432492	571309999.067721	1929150000.29511	1126049997.77899	405114999.336104
DNLZ	30020499.9543684	128004999.747712	111860000.100926	58529999.8398481	6734288.99665796	6255532.16903324	73715500.1333489
DOCK5	12342000.0241027	15343000.0279194	11374500.0037302	564747500.179566	2571050002.70865	2380349996.43791	106265499.932569
DOK2	34414999.9713164	4027550001.1171	4838550003.04703	612517499.761338	3459200000.38912	3483750008.33171	5740949992.54792
DOK3	641324999.223791	8583912.43562953	12043999.9988529	13378999.9829238	2246149995.10534	2480699995.2344	8904100.01087979
DPEP2	4534784.7439582	5054860.93001703	7174245.89596943	5918747.25066127	125926072.024881	12969213.4028577	5865909.9237721
DPF3	63159500.000123	3571237.60308535	4999059.03472259	3956502.21540845	6192546.66349156	8460200.01350305	19050600.0284144
DPP4	37568999.969888	1680549999.50236	1295049997.30063	16079999.9890547	145359999.923558	25646319.7299632	188833768.498855
DRAM2	40942500.0047427	5576943.86085188	2901423.77511757	15816500.0129197	6589820.3689922	4026850.59742052	5859092.4463634
DTHD1	10895839.2316345	7875068.94281733	62268000.0441236	2507146.40715504	10100269.2190739	3789002.83005975	42967093.6105594
EBF1	370659999.132972	5547129.97258737	3807596.73758181	8485109.8383056	5508130.61560203	7528706.3120873	20125499.9762097
EBF3	370659999.132972	5547129.97258737	3807596.73758181	8485109.8383056	5508130.61560203	7528706.3120873	20125499.9762097
EDRF1	5174277.42416663	4349480.20597451	4594314.34672129	51576000.0858718	26104680.7393602	16691378.3735732	7616801.45391209
EEF2K	15722944.5365676	103244999.928056	86845000.0361611	229119999.865438	651190000.632272	84948000.0019182	114440000.105002
EEPD1	8214842.56487108	22271000.025196	7218900.36343877	86765500.1952417	400930000.76055	61415499.9240588	5825107.38864603
EIF1AY	768509998.867897	420734999.429868	389840001.131703	159549999.544635	12480520.1651051	10012258.5410375	112914803.527861
EIF2AK4	24541500.0166697	40656499.9083596	64986999.955993	1238999999.81766	32414999.9921808	134724999.954176	98880500.0438397
ELANE	3464022.436079	2680099.99300486	2420149.99744953	5188749.99726407	27842999995.3465	20465499955.8035	760009.999370948
ELOF1	293964999.796154	359079999.608332	432274998.662811	105259999.906673	3711243.16277314	5318862.92133489	426619999.923097
EME1	175767533.859268	5006737.49900612	6451526.79880795	132918000.24282	1547650003.5946	4840428.59867909	9025577.01039451
ENTPD1	262115000.148514	22806999.950182	4811433.84667637	210909499.915758	660129999.377117	462539999.568503	32295500.0303798
EOMES	14756244.8748964	6936551.82957721	275334999.871395	5205741.24948231	24837500.0435086	8047905.06133739	980270000.958879
EPN2	6442700.48254345	3658468.89595318	4217230.79862891	3883194.67091533	99793499.9390117	4592368.1267492	4046654.50310727
EPX	1608949.99739842	568545.000124107	785235.000896069	3180700.00736274	85250500041.0755	8700649999.31281	639889.99954039
ETS1	386775000.155879	814445000.788922	806520001.077536	46171500.0930232	205454999.677689	10016451.8277397	772289999.830505
ETV6	157684999.749278	167819999.936063	62034999.9539502	1057299999.62977	128050000.047463	450345000.007342	281669999.520248
F13B	18230999.9802841	471740000.67209	26705999.9552224	412655000.979702	199339999.94511	334490000.286993	3225151.50198826
F5	2426350002.83931	980034999.335384	436049999.137576	1058920000.538	526124998.769407	1995549999.59862	111999999.910634
F9	16650000.0228937	291125000.231788	22952499.9897669	361150000.474409	786140001.565541	326909999.653083	8005799.99970191
FAAH	5532245.48190949	6087255.61395642	5688153.66035412	426905000.728055	162315000.026004	251110000.42378	5644582.44800081
FAM111B	23847221.7989815	91374499.7517072	73894999.8472125	831800000.851218	108949999.699557	186999999.770695	145019999.955931
FAM118B	20317479.0663933	25256000.0673232	37472000.0178046	233710000.641251	14769500.0326959	143455000.330117	50403500.0987246
FAM205C	4943874.51110175	3542486.43940356	4398110.47297307	3518362.03691753	286884999.569657	4913822.85681301	3881969.9089375
FAM241A	5297347.88586068	96376000.2488568	46132999.9366805	277539999.382157	39964184.0809712	115234999.778812	37798000.099589
FAR1	73680500.1751973	56566000.0939792	134644999.954806	331085000.442457	56272500.0174657	691210000.107303	172499999.880336
FBP2	6825246.0427509	20171000.0044825	76161000.1195599	499994999.404488	383944499.129616	1152349998.6684	70551000.0195144
FCER1A	3965802.05364574	3610389.63343223	3470260.6618714	41240499.9968606	9776567.29241946	6343904.22759531	4763998.49694401
FCER2	113657000.163416	4555632.16394148	2521537.52456457	3704407.43238117	5996406.26034442	4975765.26307706	4813278.38202499
FCGR1A	4203650.32652101	3843406.95637623	3166324.22183355	3163266.68565902	4826592.92000355	251600000.151851	4675154.21860716
FCGR1B	4203650.32652101	3843406.95637623	3166324.22183355	3163266.68565902	4826592.92000355	251600000.151851	4675154.21860716
FCGR1CP	4203650.32652101	3843406.95637623	3166324.22183355	3163266.68565902	4826592.92000355	251600000.151851	4675154.21860716
FCGR2A	5253757.85056723	4005042.05067867	4408064.08008158	58404250.1238783	154930000.052906	221629999.682117	4123054.16577675
FCGR2B	84662771.1413124	4667218.77685289	3181540.14555325	45129025.9763051	36738378.9130705	12195779.4986814	5948169.03656333
FCGR3A	4331263.11045792	3848541.89053902	7597964.01371162	4058828.90496376	7271357.13288718	349305000.407005	1523825002.61066
FCGR3B	4669552.80680664	4228429.06500951	3594413.38590785	1972501.01294326	104419500.334356	295290000.052631	1537890003.13257
FCN1	4716200.00829486	2176399.99977605	1453849.99954723	57838949.9054741	305769999.687262	12073499994.082	2464599.99980811
FCRL1	145905000.232027	3885883.78391222	5239583.83515585	3951520.07368645	4960106.59887104	20044499.9725013	7361466.07090671
FCRLA	982134999.460571	4627459.85657622	3481618.65412032	4956788.51708786	7755234.68518427	5052556.33326625	5731968.45438102
FES	6376546.06771679	14193499.9919365	5566690.18153387	2289500002.01813	2760350004.15211	2417550001.01246	722859999.038798
FGB	322964999.45877	149155000.245274	16390500.0238214	630494999.630656	593710001.37184	2011799999.73893	2330033.1172506
FGD2	3936450001.52467	11121409.763597	9428950.00223456	5082100000.87088	21013500.0386623	3919499995.0973	10925700.0034571
FGD4	21201100.9051297	68311500.0204661	87212500.0222735	285351999.359378	915634999.010872	919470001.071352	8242637.11804947
FGR	464849999.190441	39193500.0063436	199729999.769774	1125577996.28833	3492949996.03502	13383500003.1069	1690300000.88715
FHIT	64193000.0533815	8886429.04657056	4048609.83672432	89600500.080292	70851499.9961508	74310000.1100775	41225064.8415345
FHL3	5245659.31358872	9057857.10342177	16191999.9980219	5885306.63863765	425770000.954711	65727499.8699208	101280499.833141
FMNL2	6197056.44523551	5218300.33256994	3083153.49190648	36941999.9611426	5275093.53534229	76040999.8039131	13964499.9969574
FOXP3	3762301.39015367	17107499.9940343	2719561.52169241	4879498.49895712	10889594.9658972	5286348.96416449	5219073.32037089
FPR1	3995663.10083813	97620499.7660398	46170500.0903077	3943905.11780414	119065000.208792	290799999.790796	86452500.0815664
FPR2	4704744.3706533	3961144.30261936	4105378.16914425	5470372.9055409	81618999.9032762	770680001.48347	5519960.94783754
FUCA2	13708498.7435353	24060000.0013031	63001500.0764386	28409000.0144229	412405000.124086	154414999.92083	222179999.622464
FYB1	46153999.9159048	10802999984.758	8110250006.27491	1698900003.55261	4458450000.74257	3479899997.36412	4754600010.94819
GALM	394274999.306555	2909650002.26354	1890449998.28451	412288000.405455	1974600001.25694	388695000.703751	629250001.222522
GAPT	167865000.085037	7740700.01304034	6262850.00849401	471119999.92537	545485000.633474	70197500.238319	8528750.0026465
GASK1B	3662698.12682725	6879366.83848146	11720777.0237357	276969999.67839	60495355.1641313	232895000.064536	4216707.67553058
GATA1	5357700.93008091	4489003.78394759	2989818.63859562	2577516.17258755	111385000.105502	4347986.89586145	3766207.37301403
GBP1	1370350000.68507	7485999977.12551	8635199983.02113	1161369998.98891	167604999.941715	2922899995.87433	2630850000.57492
GBP5	67253999.8290685	2933249997.6384	6050149988.87729	40190499.8802209	35888500.0337013	1502650003.07643	6087849993.36212
GDAP2	85387999.7369492	73082000.0280852	118294999.958674	241990000.655609	525034998.963009	917435001.341508	155849999.698053
GIMAP1	19602000.0035799	9376299987.92698	10439500015.8712	136795000.066064	49446999.9973763	4534600000.28745	6354150001.58206
GIMAP2	9331127.4126128	486545000.398099	589885001.071609	61963499.9634913	7110106.09039819	367504999.752832	667144999.750178
GIMAP5	37761499.996011	7121749991.60584	7514749983.847	51168000.0288762	47800500.1040846	2613399998.09772	6544400014.38249
GIMAP7	27402500.0481592	2955300000.46961	2952299999.60946	54006999.8462989	7448248.03877236	1380550000.17233	1402100003.37752
GIMAP8	41287500.017135	2471399998.90841	2627699998.16018	68891499.8098968	30929499.9410296	4550900006.27509	2066150000.25001
GLMP	4981414.51435506	5418614.01270422	4205682.79695501	4263490.30175875	15387339.9684791	61611499.9706508	41771500.0736515
GNA15	21420991.4319761	8399600.00369911	8055749.99545887	324145000.319656	62050000.0605413	40271500.0668585	4377622.53372858
GNB4	721269998.54314	16415602.0088092	15173500.0204038	1073280001.71986	449354999.975376	1539749998.54081	81672999.8924297
GNG7	1462550001.24993	47838500.0439546	39338499.9839844	233704999.923656	124569999.919052	21747499.9894659	5857421.975049
GNLY	3742206.13845264	4212871.87473402	48495000.015555	3645617.53774157	4758142.07713756	12198999.9920032	2320850005.15812
GOLGA8N	4109939.55059581	5235063.36144311	5068304.1441668	81938500.1668729	4959453.27603394	4888489.69936755	81637500.0666155
