B cells naive	0.02293097761065396
B cells memory	-0.06178368993571044
Plasma cells	0.3812852481583981
T cells CD8	0.6222756152139395
T cells CD4 naive	-0.0797517899122233
T cells CD4 memory resting	0.022649166950945165
T cells CD4 memory activated	0.15900474739617537
T cells follicular helper	-0.03838312746581945
T cells regulatory (Tregs)	0.01344168252361436
T cells gamma delta	-0.024844247519025035
NK cells resting	0.10097099992663087
NK cells activated	0.1509715700531272
Monocytes	0.024483767664086036
Macrophages M0	0.22252909672515703
Macrophages M1	0.014255430251116767
Macrophages M2	0.1290430048146945
Dendritic cells resting	0.10205689743290661
Dendritic cells activated	
Mast cells resting	0.2701817211443805
Mast cells activated	-0.07924087239678378
Eosinophils	0.12070054884960697
Neutrophils	0.44629244838250626
