B.cells.naive	0.2734350588702444
B.cells.memory	0.2292736232548552
Plasma.cells	0.1326134816897279
T.cells.CD8	0.6677783491433635
T.cells.CD4.naive	0.6474256593582409
T.cells.CD4.memory.resting	0.7688999148912516
T.cells.CD4.memory.activated	0.6947880742250262
T.cells.follicular.helper	0.6091450029849494
T.cells.regulatory..Tregs.	0.6588873570517971
T.cells.gamma.delta	0.7401713805481542
NK.cells.resting	0.7409458521777642
NK.cells.activated	0.7461561102898424
Monocytes	0.5418872750997996
Macrophages.M0	0.028187901649148646
Macrophages.M1	0.6339547532415646
Macrophages.M2	0.4649879556835489
Dendritic.cells.resting	0.3566822833590404
Dendritic.cells.activated	0.5525658189243892
Mast.cells.resting	0.5049285075186082
Mast.cells.activated	0.5548982242491499
Eosinophils	0.4487051347489444
Neutrophils	0.48028550449424734
