gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
DBN1	1.555500275	1.933169899	2.435124805	15.62508895	30.42731075	2.343165303	7.669499533	13.36699934
DBNDD1	20.1342571	1.309976141	2.425982166	2.049902443	1	1	1	1
DCLRE1A	1.414643711	2.24012339	1.967585342	3.659707584	1.988720675	2.73450334	4.883729896	27.27050741
DENND2C	1	1.186094256	1.97531264	1.72845318	1	1	2.33930126	19.75187519
DENND2D	28.435477	20.87487521	79.12692624	106.5802912	90.30584585	25.09310181	220.024093	24.29231513
DENND5B	14.34011808	1.894589057	1.27317523	1.103082879	1	6.610214805	1	1
DEPTOR	2.288834772	1.115031142	1.844312867	1.610161365	2.670207507	12.95960035	1.473995201	6.73255024
DERL3	30.68451439	21.36557868	2.551052544	1.483135115	2.442412024	2.389081817	2.960253892	8.157491657
DGKG	2.68539971	9.205808854	1.168262468	1	1	4.44743737	1	1
DHRS9	4.662250566	11.0335929	1.201478796	1.966507891	2.301859576	27.98865282	1.554961746	9.468072619
DIRAS1	4.920538279	1.523536088	1	1	1	1	3.193617451	1
DLEU7	2.517970018	12.77947134	1.506297839	1.287318838	1	1.971103834	1	7.272620638
DLG5	1.174691469	1.634176564	1.228826429	2.634935223	2.248495563	1	14.29659476	7.233908723
DLL1	1.484594029	1.150165167	1.790490197	2.397030939	1	1	11.64626359	1
DMKN	1.791297461	1.124301627	1.237380384	3.646392733	5.201842756	1	15.22741377	1
DMTN	1.754757624	1.784148101	4.728749797	5.341090225	8.002148485	1	6.655958893	163.7051356
DMXL2	4.015976642	80.10271642	6.195134597	4.145506581	10.12105264	15.11494412	5.053710024	20.61675076
DNAH12	1.247168988	1	1	1	1	1	1	11.55241914
DNASE1L3	22.55615701	15.85897293	1.585849379	2.65431782	4.151446415	36.39677435	3.017267812	1
DNM3	1.247244888	1.558007369	1.901109673	1	1	1.660161872	2.584404391	88.05778832
DOCK5	2.820391024	38.77817306	2.328621686	2.171549291	6.298813348	42.8308758	11.27096188	16.29746893
DOK3	13.67381341	48.08186488	3.813343336	3.00640739	5.189655852	7.106904781	3.659153901	12.83614521
DOK7	5.674998256	1.584288569	1.234031449	1	1	1	10.42896849	1
DOP1B	76.47930105	12.06740925	8.25462564	9.000211185	12.10584305	10.25896936	9.086951225	21.4446274
DPCD	1.491884667	7.987561255	2.098437695	3.472783632	3.95595376	15.89981685	1	1
DPF3	9.218326371	1.100785441	1.221878754	1.379597111	1	1.858304265	5.577136831	6.336919743
DPP4	3.467060815	3.699348846	38.22510095	15.40716109	56.7948861	5.98239767	11.99218857	1
DPPA4	2.374074563	1.727650392	1.509228866	1.75514628	1	1.67067102	1.473995201	14.75195417
DPYSL2	10.89161014	119.5292588	13.63654626	8.873709768	18.35533968	113.0497004	9.88302876	57.44062547
DSC2	1.245660711	8.154235802	1	1.199384341	1	2.430959086	1	1
DSP	10.2893488	1.136879666	1	1	1	1	1	1
DST	2.958407277	14.29424255	2.778534259	1.960973691	1	28.61913621	3.706165086	7.967620144
DTHD1	1.565416418	1	1.688309515	7.567750649	25.45386368	1	34.50343148	1
DTX1	10.45934674	1.367636123	2.400766001	2.057930805	1	1	2.702382655	1
DTX3	3.03191135	2.116918641	9.138028134	9.595650174	15.2173101	1.893364446	39.38519705	2.900472267
DUSP16	2.636181518	2.408189586	12.61203997	8.684524629	19.82216344	3.139941296	2.473231386	2.789372914
DUSP2	65.01913982	72.93415208	150.8998947	398.2772178	659.0588825	110.1918353	336.4938293	98.16615706
DUSP3	5.569469168	30.14418271	5.237737886	4.394971174	7.512068268	31.91078171	1	19.73707113
DUSP4	2.362876642	1.14088684	10.20712328	3.02620254	1	1.828094257	2.211310735	1
DUSP6	17.84169171	301.7293816	18.36438593	13.04515255	20.98341766	25.90879631	63.40531443	194.6054773
E2F5	30.37419413	3.351018789	1.725956583	1.880375893	3.421332329	2.436443137	6.175263924	1
EAF1-AS1	1.339297505	4.271194197	2.966934843	2.327296646	4.937119485	1.59970015	10.30349726	2.789372914
EAF2	225.5795818	25.36279732	9.974155029	7.297734925	14.10299768	33.35528894	4.898310324	26.68245895
EBF1	40.46882992	1.542943673	1.155862876	1	6.639162805	1	2.924201841	7.735503513
ECHDC3	1.805583807	3.4634807	1.497538471	1.83680716	1	9.044638709	1	1
EFHD2	30.80370966	189.7097977	28.36944471	61.51332931	155.4367204	215.5492759	481.1398936	102.4673421
EGFL7	1	2.723579694	1.285640391	1.308175717	1	1	2.421985604	37.63403703
EGLN3	2.580995182	3.088140134	2.856740511	1.132484444	2.047019554	3.656474559	1	34.88630753
EHD3	5.276345956	1.519774594	1.305281672	1.871223553	5.535169164	1	1	27.96230635
