gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
GPR171	3.54000211	2.763596773	28.51192679	37.03665318	94.03790377	2.790452729	6.642370016	2.931605705
GPR18	51.89465859	3.928081254	14.32569684	15.66682856	10.80530446	6.97237818	13.7445904	1
GPR27	1.77219533	11.62477055	1.62692337	2.012423036	1	1	3.423572637	7.498612546
GPR68	1.246487978	1.707742869	3.871519547	8.669015305	14.63439901	1	25.37219803	7.233908723
GPR84	1	2.798676063	1.182097221	1	1	7.777835888	1	1
GPRASP1	2.984119607	1.245107143	6.888619816	8.084035843	3.27811071	1	1	1
GPX1	245.5119168	1536.253148	175.8338474	154.7792936	165.3749781	1097.647308	173.2711906	2422.79593
GRAP2	28.93529512	6.599079613	62.41436539	85.33696823	83.63754411	8.984599607	47.76191756	398.4762199
GRB14	1	1	1	1	1	1	1	20.00286791
GRHL1	1.386313828	1.928661106	1.599721551	1.479544464	2.648168752	1	1	18.43557555
GRIP1	1	1.431044791	1.251642977	1.09584449	1	19.46527026	1	1
GRN	94.78528679	623.5467137	53.21382656	36.64341274	64.68159849	857.6222579	48.00206674	236.1793293
GSAP	46.24396232	33.41052269	11.55718125	13.88900452	25.51379385	38.33509817	120.6802457	21.83838149
GSN	9.991268121	32.47499701	4.435713691	6.991779126	8.679437972	218.0763086	124.9099925	138.9645794
GSTO1	66.23323149	209.9416798	79.35467027	74.77042995	82.65807287	133.2779748	115.272027	643.8655695
GTPBP2	4.828461246	8.448075579	2.574501795	3.847595007	4.053994698	2.663549305	2.89176816	50.81949594
GUCD1	76.41850386	18.36370876	13.30704908	13.65337472	15.55188292	8.27242996	21.04033958	27.10268477
GUCY1A1	1.506226331	2.675094687	1.437334551	1	2.142178363	6.676128362	8.843586021	47.40584603
GUCY1B1	1.645154631	2.908938981	1	1	1.62755257	1.743065711	3.620846831	155.3064278
GUCY2C	4.955228753	1.691628162	1	1	1	1.684136784	1	1
LARGE2	25.52736276	1.440393414	3.989368222	2.70618687	3.807433032	1.699232243	3.61560996	7.735503513
GZMA	26.05877769	22.11130536	72.69250107	375.4857806	902.1504566	13.40035338	1851.637491	154.6171089
GZMB	11.74709427	120.5094965	7.769622787	64.22642368	76.24359686	10.15286859	1106.213627	83.09299288
GZMH	5.109259782	7.73020028	4.623004938	187.7202573	174.4610563	4.637287153	464.3089799	14.15997263
GZMK	22.45078632	18.46924001	53.58571841	390.607937	809.9731406	4.981874382	131.673597	46.15030259
GZMM	16.07931162	14.03063916	76.39369086	232.8818099	283.5486865	12.71589816	579.4278445	77.49555105
H1-0	4.661806295	41.22806441	9.006274512	4.089300163	1.605628958	42.61179518	2.895980805	77.93373866
HAAO	4.732655565	9.270217271	1.877814801	1.318172319	1.605628958	20.55799688	1	20.93620415
HABP4	3.613080457	2.65218917	11.60325425	10.11235009	6.844080756	1	1.659420949	1
HAPLN3	4.472861659	4.085376836	29.33902175	19.96911853	13.16474861	3.166649655	4.902411839	1
HAVCR2	2.844359053	21.92298901	4.136411547	5.604436289	12.29206803	55.90065098	66.36373174	7.360906825
HBA1	1	1.230379977	1	2.579129543	1	1	3.378743548	48.06638002
HBEGF	1.444825079	17.61583066	2.1624831	1.323803686	1.982629083	22.13753661	1.922282908	13.40993918
HBQ1	1	1	1	1	1	1	3.017267812	15.07279899
HCAR2	1.463229948	13.93641485	1.567421455	1.568707703	1.901534412	4.118171802	1	1
HCAR3	2.512049132	34.39143872	3.295747501	2.211825265	1	17.81645393	3.507100923	18.38138558
HCK	44.39492401	186.3422111	11.81884643	7.99075789	19.21012829	167.600512	11.75983225	78.89607351
HDAC9	64.58921845	40.56706795	2.541652704	4.313407965	8.892487865	66.41967221	25.78343515	20.17665012
HEG1	3.553150766	4.751464671	3.941188614	6.24127833	10.99230019	1.842732611	20.47856384	1
HEMGN	1.427432598	1.195088872	6.331750047	4.599351039	2.881401954	1.879272385	2.658410417	56.86032631
HENMT1	6.1847009	10.52845224	11.69637765	27.78902491	36.49959492	17.43882526	80.91352881	12.0357848
HES4	3.097846014	36.55096211	3.399330666	2.965266945	2.934024965	7.075758158	4.294389049	8.519436917
HES6	2.399737865	3.109267728	1.438790662	2.615654628	3.036356432	4.034015628	22.23767816	1
HEXIM2	4.203225435	5.437871119	3.091037564	2.352795021	5.94543935	6.623013927	2.464840889	57.23646499
HGD	1.180023025	2.119437354	1	1.403612167	1	1	1	195.684814
HGF	1.383406181	9.780519096	1.192716102	1.317750753	2.112342103	4.229821128	2.109923493	1
HHEX	126.7335112	67.44235107	4.670239317	6.099260765	7.58947864	65.59775756	11.78345999	48.83142833
HIC1	1.216003482	1.568697974	1.897477825	2.695385012	2.236528027	1	16.40488072	1
HIP1	4.820536602	8.632101535	3.480890761	3.974294897	10.17692738	33.68428743	18.42817489	1
HIP1R	42.32073849	2.129944467	12.09169601	13.93837226	10.94455887	1.757566575	18.62827513	2.931605705
H2AC6	31.60123824	10.83228631	12.87568653	12.16814917	7.411782683	10.51226332	17.06131437	1810.922016
H2AC11	7.739089107	1.320376821	6.123834873	6.243804599	9.854836073	1	5.123473284	35.10451831
H2BC5	11.77611587	4.588375923	7.028033104	5.715238303	5.843995908	5.130098994	5.755527798	43.27246728
H2BC11	3.988821447	1.898569596	2.173994759	2.080548478	1.926873397	2.01480396	3.397510715	167.7338718
H3C10	2.693547178	1.944089913	1.23286724	2.551074048	1	1.667499706	3.039933743	110.7272259
HK2	3.623267275	29.74209523	3.430605016	2.792722042	2.24142794	14.21347179	2.83989255	19.10503258
HK3	1.602990171	26.77641545	1.986446985	3.027773797	2.968355918	10.1392538	2.983869572	19.05181701
HLA-DMA	572.033698	338.0031352	35.5105358	49.19418678	89.36297475	786.06474	54.021055	128.8710101
HLA-DMB	434.7252728	198.6005711	20.8966155	26.75089119	43.36502413	537.8761478	43.99333413	84.08382229
HLA-DOA	80.65861622	8.373992512	4.156214303	7.998682767	8.204081096	65.25310729	4.20785119	8.988649582
HLA-DOB	190.5719372	5.176615923	3.278679084	4.399841584	8.37814764	30.34374842	2.605837541	2.980590216
HLA-DPA1	2413.124645	887.1091203	116.0556438	156.9029862	297.5876908	4653.227971	176.5469245	578.0126886
HLA-DPB1	2433.678841	1008.284278	120.5339271	227.5681955	295.1445229	4993.879208	223.4141411	628.5081102
HLA-DQA1	872.2126426	437.7944839	46.00796357	50.51823495	129.2591301	2864.260591	41.48300991	299.331104
HLA-DQA2	9.746468265	3.910455665	1.731896922	1.296009846	3.735506641	29.72839278	1	1
HLA-DQB1	1827.90946	755.4749027	85.20843307	99.20127187	215.4256896	2862.531165	124.5179409	428.2639408
HLA-DRA	6135.108913	3402.998823	289.3969135	238.3814863	541.0818022	10965.66182	315.969507	1963.313569
HLA-DRB1	2781.22914	1933.904648	165.2288757	183.3495385	478.126989	6476.766771	158.578651	944.6967292
HLA-DRB5	67.36756711	42.85667383	5.21214849	5.709790733	12.90921916	123.9307609	6.001538402	19.05858908
HLX	1.841872191	11.59046932	1.816697702	1.667697046	1	27.29813462	1.922282908	15.72030518
HMOX1	6.884074158	66.99767152	4.558861358	3.423714594	6.024916983	21.89981836	6.609415922	26.42878088
HNMT	4.248466366	114.6446507	6.122374716	4.946847954	3.885174508	49.51662047	7.018037047	38.87047697
HOMER2	5.560406144	2.370260252	1.592043208	3.19133827	2.20262268	22.44842882	1	1
HOMER3	1.830326203	14.7227214	2.262645777	1.431929158	1	1	2.092537966	7.272620638
HOPX	19.11199923	10.89699425	33.30245246	91.72005433	326.6916011	9.596248881	964.9708323	65.4634011
HOXA10-AS	1	1.112623875	1	1	1	1	2.62785852	10.76363488
HOXA9	1.087492853	1	1	1	1	5.75930205	4.552100073	26.10329409
HOXB4	3.814710847	2.022812812	8.529393066	6.352550309	14.56281539	5.749636453	22.77671397	1
HPGD	1.585352947	2.525535252	8.048780031	4.698652013	29.84096837	2.16513723	3.68396654	24.51494998
HPSE	2.418387922	25.97792207	6.450747122	3.558487688	3.575778871	4.945741146	1.744074193	7.169689524
HRAT92	1.211631746	1.865908816	1.760024172	1	2.270925793	1.916489479	1	245.5145725
HRH2	1.907847495	30.1799225	9.848268856	7.559280443	4.23872657	31.82978986	2.769736097	7.336351363
HRK	11.21533801	1.246900607	1	1.216282901	2.075518615	1	1	1
HS3ST1	15.12227998	2.224959294	1.788295513	1	2.676592092	2.863145208	1	2.789372914
HSH2D	47.43577865	16.52983488	9.845146398	13.08912069	24.49619556	21.29708427	102.7987254	13.76100705
HTR1F	1	1.149492384	1.25474968	1.263157341	1	1	1.473995201	13.62950757
HVCN1	307.8820843	47.99484785	16.46149613	13.31673417	14.64446208	41.33571197	34.75528845	40.06194053
ICOS	3.372827767	2.470601917	33.99735065	15.7260857	9.426426101	1.667499706	4.008232447	2.789372914
ICOSLG	16.06002062	4.804346045	3.51301716	1.727155691	3.47186272	7.763277707	1	2.789372914
ID1	5.072126941	62.11356888	6.211822992	11.54666599	16.47282966	101.2289067	20.94497019	56.82700605
ID3	72.81111627	6.327727604	41.63672059	23.91584364	9.195765365	32.03496034	2.946040197	15.07279899
IDO1	1.746225915	1.682201449	1.340096376	1.278517706	4.353184184	14.99470409	1	1
IER3	8.969702012	76.76060801	8.796543588	7.471098696	13.54901558	20.26491789	9.835882389	46.95332471
IFI30	19.52762187	268.9880297	10.65732408	6.821163833	20.58576255	343.4052319	9.941740597	141.8491581
IFITM1	29.06582867	21.3036883	291.3296751	306.3545308	239.3253402	19.21092675	658.7774903	90.41491116
IFNG	2.630302699	3.111897117	7.248022156	42.2258326	32.80214539	1.892264424	138.310677	11.87892916
IFNG-AS1	8.355405813	1.386242705	3.563368619	9.015643508	17.15569539	1	1	1
IFNL1	1.150173082	1.113005306	2.369650406	4.505546499	4.6070548	6.030675979	20.70557821	7.233908723
IFT57	146.6713145	14.66906002	22.95272584	23.33587969	16.91116804	26.56049513	18.45203221	26.56143729
IGF2BP2	1	12.69178218	1.602362398	1.760345615	1	20.28269862	6.295208098	19.0621068
IGF2BP3	1.426128225	2.478110368	1	1	1	1	1.822168288	55.54737015
IGF2R	8.558198161	19.12302134	10.45269483	10.88946131	22.1254508	2.753586705	60.84130598	21.50557437
IGFBP4	11.66218594	1.362809894	4.045471291	3.635818039	10.80652733	1	25.64949274	1
IGFBP7	3.726124278	21.64457174	3.000331646	2.361104235	3.858828586	104.764738	252.2620902	25.76180023
IGHA1	70.97743829	2.665476358	1.989635307	2.335165574	13.34647327	1.916489479	5.755006546	1
IGHA2	7.831999204	1	1	1	1	1	1	1
IGHD	1032.788778	13.94872179	9.790103437	12.59040906	19.70641541	10.43539161	7.046830673	61.61953161
IGHG1	111.3391776	3.336985573	2.418856212	2.252969948	3.777685188	1	4.147151926	8.580288296
IGHG2	12.51004659	1.184380365	1	1	1	1	1	1
IGHG3	56.35379329	1.434447909	1.553374171	1.845891776	3.631729264	1	2.759646381	2.789372914
IGHG4	5.988199061	1	1.111671553	1	1	1	1	1
IGHM	1792.796052	36.51876249	24.01822595	34.48957681	43.74800251	19.11169781	18.5144669	58.16161787
IGKC	7216.595359	154.8074069	76.50911239	80.21695173	214.3259459	77.13312643	85.48029236	186.2397546
IGKV1-12	16.17518882	1.14088684	1.229399048	1	1.988275104	1	1	1
IGLC2	1918.663137	19.81294386	12.21314401	10.59792952	13.94414788	13.00881444	10.72292856	18.81086854
IGLC3	1367.613225	18.35871495	9.248133645	8.451537916	6.451673679	9.959408522	14.92442657	236.7426229
IGLC5	32.65088174	1.265940755	1	1	1.478190679	1	1	1
IGLC6	13.3038593	1	1	1	1	1	1	1
IGLC7	80.8415253	1.770236903	1.318087184	1.351945874	3.490503046	1.684136784	1.863938349	1
IGLL1	1.389716587	1	1.458109861	1	1	1	1	35.49752328
IGLL5	36.95022065	1.106218273	1.627544377	1.46899219	1	1.630375527	3.055557611	1
IGSF22	2.841366136	1	4.768172543	4.62051255	8.509897983	1.926962751	1.930204868	1
IGSF6	6.80667062	195.0673935	7.859995121	7.070211838	10.14075168	314.1728217	12.05997202	116.9769715
IL12RB2	1	1.139201919	1.967718854	1.084225705	12.71509986	1	5.96839863	7.233908723
IL13RA1	10.37002038	48.56802703	3.219580772	2.384649013	5.543538477	79.28608812	3.148569268	33.5680847
IL15RA	3.047564344	6.958209404	4.955605346	4.220442157	13.31743119	1.858304265	6.802414159	1
IL18	3.019804896	22.73004384	2.694756148	1.608810789	2.670207507	53.0649161	13.54527151	18.70169332
IL18R1	1.385293895	2.53351372	4.433915351	3.755782177	13.26936361	6.690457013	26.44311148	1
IL18RAP	2.179808784	1.82577051	1.505486353	1.905714037	40.2697513	2.61976905	96.59110069	1
IL1B	11.79206961	324.3176131	17.09682831	13.50641876	28.07907027	285.9553623	14.17315977	165.0384861
IL1R2	1	4.186207161	1.50457917	1	1	22.0001779	1	7.498612546
IL1RN	1.595685184	37.51258699	2.288309047	1.80877161	3.763682995	17.9163119	1	13.28353284
IL23A	9.629529101	3.801206055	23.74914606	14.97449998	24.32380211	1	1.930204868	1
IL23R	1	1.240972798	1.757237144	1	8.899076216	1	2.902261789	1
IL2RA	4.528160957	1.414471422	14.37431589	2.25978311	2.332326968	1	2.910504335	2.789372914
IL2RB	10.03904459	6.884489686	23.26369298	46.11011533	104.7337266	2.785031955	560.1721208	24.08204278
IL32	115.270247	104.142091	1284.33803	1510.623123	2187.768821	47.63067059	556.9563808	566.3108967
IL3RA	7.30599946	18.30624271	1.608546694	1.672807968	1	5.548750055	1	10.32479845
IL4I1	1.642613752	4.853478901	3.09729114	1.31837177	14.76842848	10.89652756	1	5.355761147
IL4R	313.3530375	25.41330061	47.97635443	31.8831239	22.03788014	20.2639435	21.86987895	24.6028762
IL6	13.23744032	2.583561771	1	1.520349504	1	1.59970015	1	1
IL6R	7.633314761	54.32619811	44.81919691	26.49034369	11.44695693	95.88725696	3.32721249	51.85728709
IL7	12.93692183	1.910569977	1.802473875	1.738640422	3.19610258	8.136167937	1	1
IL7R	41.51450101	33.38646293	515.2793259	357.7124303	692.8462475	17.66086427	57.64387702	58.76168914
IMPA2	5.451757663	33.91670815	5.297717684	5.977251924	4.557066586	78.58386021	7.435850382	37.21976729
INPP4B	5.87873834	4.022786902	52.69539501	32.30274901	35.05728406	3.677997323	6.694226657	13.78551952
INSR	2.782439183	19.95544362	2.491824355	1.077115962	1	31.0865618	1.736264254	17.02234819
IPP	8.364472782	2.202725827	7.757409121	8.848329523	8.573745434	1	24.9131704	1
IRAK3	5.801154021	73.31178189	4.52863196	2.679562265	9.752558812	21.02779516	2.664885239	32.56877075
IRF5	12.51663262	35.2384077	3.872361918	3.499862698	6.865798956	43.42207685	5.048582204	34.0587327
IRF8	282.6280712	130.8097662	12.01743286	10.23182873	23.42108386	174.1887298	76.22320487	61.029245
ITGA2B	1.851122565	1.120777148	1.288711241	2.034050538	1	1	5.112484681	240.5515428
ITGA6	3.820894931	2.658257991	31.83701179	23.12281056	21.84162253	3.806733347	19.75917732	2.931605705
ITGA9	1	1	1	1	1	1.892264424	1	8.255728701
ITGAM	7.801111107	86.89505731	5.902420533	14.62294598	37.32789828	10.25444074	104.6117278	21.12451455
ITGAX	6.235618163	52.34752913	5.799528557	5.063011737	7.32127467	80.38946712	53.58883413	17.10946794
ITGB3	1.267359448	1.245825393	1	1	1	1	1	41.75066804
ITGB5	1.076368489	2.257161819	1.20720639	1.382362388	1	1	2.278285257	53.37628146
ITK	6.365606603	4.632609196	71.72994991	65.0596927	48.83746525	4.233960226	34.92690266	7.498612546
ITM2A	14.85659261	7.049422498	137.4627201	63.44059993	43.66819787	2.684352952	41.20922295	84.69363913
ITPRIPL2	1.885883806	16.57882042	2.681575946	2.348198549	1.827852947	8.10372149	1	2.980590216
JAKMIP1	1.939673082	1.589901446	4.560390967	14.86707899	39.37130172	1	4.625245951	1
JAKMIP2	1.437200926	1.41367508	2.355152467	6.737878095	10.52284894	1	28.68393216	1
JAM3	5.280680294	1.242608095	2.467399634	2.678447057	2.131641948	1	1	46.89043448
JAML	17.17018196	260.0470798	74.72320383	72.63519129	142.7478035	425.6922287	19.25219578	120.1236292
JCHAIN	219.78146	89.62712489	6.39083146	5.631721387	7.181155121	9.745908143	8.159720241	60.5053819
JUP	21.79881536	10.08967748	1.226573029	1.984151822	3.538174139	13.94187179	1	4.744813433
KANK3	1.517450501	1.386451158	2.802817177	4.823565904	6.624627882	1.828094257	21.1744838	1
KB-1980E6-3	1	1	1	1.336069386	4.216377718	1	1	1
KCNC3	3.117287737	7.550858304	1.516887766	1.270556329	1	14.51473361	1	2.789372914
KCNE3	3.179594081	57.14112607	4.433406335	2.09368723	3.245798248	17.73612298	3.488203058	45.01917747
KCNG1	34.01942773	1.528023614	1.506756547	1.338934681	1	1	2.437549955	1
KCNH8	10.59812023	1.22713887	1	1.341435367	1	1	2.689800029	1
KCNIP2	8.081406125	1.143245707	1	1.248329981	1	1	1	1
KCNK6	10.55445426	45.36077205	14.6984268	14.02137532	21.29637772	100.3212082	15.43295575	51.94941594
KCNMB1	4.027099567	10.65881494	2.350727055	3.471713854	1.303149358	28.99847173	3.778988009	10.77482083
KCTD10	6.202736418	8.271007857	5.61194504	6.840199137	9.118729258	7.242384743	46.43624137	40.76086852
KCTD12	4.792389548	193.1768653	11.95949003	8.300927041	9.621725765	112.7179171	7.848011483	75.0426595
KCTD3	2.870491464	4.90922649	2.121918447	1.291378857	1	10.61972206	2.224041147	1
KHDRBS2	11.50084661	1.201165796	1	1.456597236	1	1	1	1
KIAA0040	70.65295813	13.63905767	20.44229442	17.02057339	19.56479493	10.95252765	22.79542798	5.107214733
FAM30A	117.8698742	5.17660553	3.170122996	7.24425451	4.008206387	1	10.08011855	89.73599012
RUBCNL	80.11248448	10.05862403	3.00323607	3.207055341	5.177551523	5.085568489	1	11.91914096
KIAA0513	1.657037433	22.82059129	3.523244401	4.651938225	1.444013455	8.614774963	3.483786898	49.60510536
KIF13A	2.195387705	21.52084608	2.352717358	1.917649257	1.62755257	8.425166452	5.081281801	8.158068331
KIF19	1.828183864	1.240740981	1.490581982	3.793013874	14.58385651	1	12.84434285	1
KIF21A	2.142686574	1.522736415	6.250463432	13.91361666	16.95015425	1.716847934	19.25307827	7.409582685
KIF3C	1	1.830307252	1.522118299	1.809738019	1	1	1	20.70491575
KIF5C	2.626136707	1.422137963	5.005849038	1.845868538	14.80724557	1	1	1
KIFC3	1	1.16954624	1	1.699734296	2.809201021	1	17.92289723	52.14499479
KIR2DL1	1.349914376	1.451307592	1.279555295	5.21352404	4.693133062	1	83.87233923	13.46781745
KIR2DL3	1.738198313	1	1.171781995	4.096561172	4.444886827	1	99.94539513	13.46781745
KIR2DL4	1	1	1	1	1	1	8.632333772	1
KIR3DL1	1.358403285	1	1	3.346822914	3.77137817	1	65.8963802	1
KIR3DL2	1.549473266	1.224656903	1.898986022	6.795211877	6.566011212	1.691844263	37.7795665	1
KIR3DL3	1.21749135	1	1	1	1	1	5.89863858	1
KLF10	16.69993671	149.3757797	17.63178211	13.70192808	15.48461515	64.96467984	18.25974624	49.24610663
KLF4	37.97843971	439.8229326	26.25607521	18.01509693	32.22273589	366.5484982	29.59752248	176.0610364
KLF8	8.901416977	1.225045189	1.84922435	2.121705219	1.402419021	8.591723976	1	1
KLHL14	9.859714352	1.264885155	1	1.27526446	1	1	1	1
KLHL35	2.862014248	1.083451522	2.254602475	2.967223274	6.111020033	1	1	34.07145785
KLK1	22.04254377	2.00669433	1.509808828	1.267547361	1	1	1	1
KLRB1	44.79966897	37.19449507	333.3034587	97.06869055	2288.51514	12.0670763	1718.02523	162.9418929
KLRC1	4.081355819	2.748358957	2.99119484	8.695364468	277.9261074	2.521999437	181.9899086	11.61422533
KLRC2	1	1.443779921	1.209827304	12.65486313	10.75736321	1	31.03512249	1
KLRC4	1.188582499	1.756437279	1.504710382	15.8067006	5.405693211	1.770126486	17.86088832	5.386657542
KLRD1	13.68423353	8.357482021	9.922905685	144.9833765	399.1547083	9.751590091	1230.771066	55.66120338
KLRF1	5.244872396	5.731407819	3.951726279	30.06910361	46.65147689	1.997207818	886.4629108	40.8242336
KLRG1	11.75216935	7.766071448	33.82173819	118.7107346	352.6015907	7.270410175	262.7178347	27.76271346
KMO	32.47731345	10.29351205	1.496585382	1.414881008	1	7.466706562	1.744074193	1
KRT72	1	1	2.479229461	2.104941226	1	1	10.32845453	1
KRT73	1	1	2.808637898	2.051124189	1	1.558129151	9.152195722	1
KRT73-AS1	1.148101348	1.534876932	11.54493075	8.531454538	1	1	2.218069394	1
KRT86	1.565615019	1	1.291632371	1	1.942610125	1.641726604	6.813906695	1
KYNU	29.54710592	52.69890118	2.739448279	4.070555854	4.288644744	55.98541694	1.554961746	19.22412941
LA16c-444G7-2	1	1	1.178335516	1	1	7.596722608	1	1
LAG3	3.672607464	2.985657611	7.509051064	28.57013992	97.9441089	2.433086842	3.309330156	16.26079749
LAMC1	5.16470468	1.569395248	1.129203373	1	1	1	1	1
LAMP5	1.698429551	8.894792442	1.375571423	1.280547719	2.392369813	9.95995645	1	1
LAPTM4B	1.842013474	1.903088351	3.347905891	2.158254416	3.257582883	2.408322642	3.761286864	28.5245464
LAX1	8.490320375	2.692896903	16.07736419	15.77597549	29.44331592	1	38.53221823	1
LAYN	1	1.16954624	1	1.679889387	1.347430681	7.836069126	1	1
LCN2	1.449680524	1.090695026	1.425068722	1	1	1	1	230.0528906
LDB2	1.25872525	1.213934815	1	1.365653708	1	1	18.12926356	1
LDLRAD3	1.484954642	7.058030063	1.629333246	1	1	1.980565198	1	1
LEF1	21.86918772	15.62091397	219.6310586	216.5582934	52.22748899	8.254645808	18.09835487	39.44642057
LEFTY1	1.402174315	1	1	1	1	1	1	27.27050741
LGALS1	110.1328157	1934.875246	222.4812687	171.1313386	256.7505297	1858.662111	433.3052905	956.5385567
LGALS12	1	5.465641052	1.282007896	1.263097382	1	3.573563927	1	19.67410041
LGALS2	29.85987072	862.3138295	47.38882601	30.49342574	45.51602413	674.7679512	29.80629157	321.9744013
LGALS3	11.96467257	281.2755843	28.80343149	18.40817501	36.63910936	251.9012984	19.28386763	116.7818462
LGALS9B	1.616503047	1.819195976	1.12280791	1.103452286	1	1.709038827	37.74349674	1
LGALS9C	1.83250569	2.381840491	1.880611606	1	1	2.957866641	17.72904366	1
LGALSL	1	1.110012199	1	1.250865612	1	1	1	37.6027432
LGR6	1	1.427451536	1.241997623	3.374178602	2.143071387	1	12.58207551	1
LILRA1	2.708089351	59.01957446	3.548047814	2.540173868	3.355030701	27.38246994	2.437549955	14.70228961
LILRA2	6.675025135	88.34032855	5.45773752	3.583793322	6.918445754	69.0823863	4.115213921	37.17404179
LILRA4	11.1044928	64.66563836	3.947690233	2.55814506	4.356784203	16.76011173	8.143320034	19.40814514
LILRA5	4.309373355	97.59835691	6.852978762	2.685388148	5.649730883	16.99896852	3.354248477	54.18449804
LILRA6	1.949266673	19.5170364	2.147748339	2.366200828	1.913171958	3.954495927	1	6.551022221
LILRB2	3.95763804	101.3073737	5.831825362	4.237667195	7.072474155	36.96822936	4.79659199	24.11519725
LILRB3	6.10016328	84.29200161	5.37118633	4.198680538	10.97920363	57.62095398	8.019012036	38.33810728
LILRB4	1.485294972	45.99313371	2.308214311	2.364739304	3.230586763	83.9931132	3.38869352	8.976964422
LIM2	1	1.147292672	1	1.363466922	2.025716771	1	22.06502566	1
LIMS1	22.25319368	83.19537097	67.51244207	27.75597708	46.48437401	59.55856072	43.18850662	753.6483445
LIMS2	20.80694101	2.543108292	6.299938073	4.054183374	2.022846295	1.858304265	1.533521133	1
LIN7A	1.352596006	14.54786091	1.598867204	1.680309706	1	1	1	11.37983537
LINC00092	1.30620003	1.148472412	1.600314355	2.714420322	5.800138471	1	10.99007704	1
LINC00299	1.075086541	1.218606901	1.374560607	1.257925935	3.023652271	3.778163634	10.16688629	1
LINC00402	3.382965926	3.291911415	25.47762186	26.89218211	5.786939092	4.503090526	4.030669983	7.689410663
LINC00482	1	6.958481952	1	1.212423549	1	1	1	13.04963477
LINC00494	11.73939888	1.296866507	1.388419409	1	1	1	1	1
LINC00649	3.085210185	4.238530054	22.58587948	31.39651385	25.02863054	1.667499706	2.277954262	10.05948924
LINC00853	1	1	1	1	1	1	1	29.77841359
LINC00877	4.197115274	54.87992288	2.312723938	1.748102578	2.407562552	29.91765843	2.807566473	27.43430414
LINC00880	1	1	1.163325036	1.75199093	4.559591212	1	1.676105094	1
LINC00920	1	1.75868741	9.933317635	5.50663173	3.222313871	3.796805829	1.659420949	1
LINC00926	399.0626701	8.090800591	4.188838857	4.771155312	6.759752756	5.935573164	6.883194162	7.272620638
LINC00937	3.710913385	28.34879759	4.434718066	3.071116529	2.507525133	10.41676149	3.553608879	9.90563633
LINC00987	2.909911947	2.011505682	7.225128333	17.52343933	46.548512	2.518265724	18.44065286	1
LINC00989	1	1.168660657	1.247014216	1	1	1.716847934	1	30.74875716
LINC01011	2.778172941	2.910612738	4.31154444	4.119139989	4.375185559	2.425344714	6.760058303	30.68994456
LINC01013	19.76511584	1.23918865	1	1	1.478190679	1	1	1
LINC01215	47.37260739	4.274131493	20.09622269	14.23158507	13.92018746	2.172932472	8.935990255	1
PELATON	4.260223123	230.3787259	13.94478143	6.039392529	15.22767188	9.627263121	7.903632613	77.15559861
LINC01410	4.375282683	21.23933618	1.688630832	2.313549557	4.059576635	11.5697592	1.822168288	4.86321141
LINC01451	1	1.167953188	1	1.137027935	2.475265695	1	8.49806347	1
LINC01480	13.61554712	1.374504353	1	1.545528632	1	2.389081817	2.990596423	1
LINC01503	1.483216499	23.72492498	1.749039615	1.628611283	1	4.389100382	2.167109001	9.947766145
LINC01506	1.53456508	20.37572707	2.011598584	1.6921134	1.901534412	5.159332476	2.845392976	7.904985878
LINC01550	7.299226971	5.582968582	56.1047174	55.23433941	33.50496515	4.115269882	5.150409991	11.96148682
LL22NC03-75H12-2	1.237508253	1	1.549387898	1.256209099	9.004591719	1	1	1
LLGL2	5.411993262	3.729739425	7.738655177	9.473520423	14.99621892	2.938201692	62.694513	1
LMNA	3.767489827	11.68016328	28.59561348	18.10558638	17.1969227	87.14837595	12.14781912	216.8896558
LMO2	7.460862889	70.46117921	4.217106192	3.501433192	5.941033143	60.5606591	3.155799145	63.62005758
LPCAT1	39.20465859	23.2314547	12.10239982	40.59883885	80.53520097	13.44860878	129.1985201	23.4465396
LPCAT2	2.507444542	43.66090892	3.523495762	2.756477672	1.895826167	39.67942407	1.947990403	13.15910673
LRP1	3.120186124	60.56163906	4.386180049	3.470569946	7.434285409	26.69500795	2.33930126	17.58707746
LRP3	1.722129664	9.487218912	1.262516444	1.216282901	1.43689261	1.807845798	1	1
LRRC25	6.591239426	106.4322967	5.597018244	3.597788744	9.070521926	105.1285374	5.385731105	31.08313567
LRRC26	1.225659467	18.19745142	1.609758781	1	3.226310085	1	1	4.578745829
LRRC43	1	1	1	1	1	1	5.06347608	1
LRRC8A	6.919298842	3.36502327	10.43531882	13.62550836	11.36293578	9.16286934	35.3917709	1
LRRK1	8.417999384	14.63094431	1.863470888	1.54078471	2.676592092	24.20131324	3.055557611	8.569375754
LRRK2	23.60163637	108.4567414	5.599061443	4.138919826	12.17426365	37.36719214	6.160201956	47.5081439
LRRN3	5.434948311	4.104716049	33.5259209	55.53174204	8.499924596	2.158292876	1.754902716	21.01151069
LST1	90.28680313	1919.550753	115.4770877	75.47211698	179.0779832	984.8237381	92.04791035	799.2140044
LTBP1	1.527623184	1.137330361	1	1	1	1	1	53.57073361
LTBR	3.510171735	33.30719389	4.6163596	3.444408639	3.374998896	43.46388415	8.407336337	13.88668333
LTC4S	1.378060381	2.538465434	2.938406828	3.132895696	5.219582138	17.57962879	1	8.207052841
