"Sample.ID","Immune.Subtype","Subtype1.WoundHealing","Subtype2.IFNGammaDominant","Subtype3.Inflammatory","Subtype4.LymphocyteDepleted","Subtype5.ImmunologicallyQuiet","Subtype6.TGFBetaDominant"
"X01BR001.T",2,0.00146544410381466,0.990172684192657,0.00486549106426537,0.000674226903356612,3.71804835594958e-05,0.00178485526703298
"X01BR008.T",2,6.16217459281643e-08,0.999986231327057,4.38035554495286e-08,0.000254755796049722,5.5195903769345e-05,0.000115039099910064
"X01BR009.T",2,0.00127902725944296,0.770555198192596,0.00277960579842329,2.79396463156445e-05,2.33380142162787e-05,0.0342929549515247
"X01BR010.T",1,0.981304883956909,0.000437104827142321,0.00376817490905523,7.49399914639071e-05,2.50977045652689e-05,0.00194446858949959
"X01BR015.T",1,0.755657464265823,0.0133522790856659,0.0178389213979244,8.46864213599474e-06,1.80569622898474e-05,0.00389861641451716
"X01BR017.T",2,2.8606382329599e-07,0.999973893165588,1.22912234701289e-06,9.69222037383588e-06,3.9661869777774e-05,0.00371580908540636
"X01BR018.T",2,0.00274088745936751,0.934481799602509,0.000137463841383578,4.71272790036892e-06,3.61085722033749e-05,0.00151741079753265
"X01BR020.T",2,2.74474439265759e-06,0.999848693609238,2.60231281572487e-05,2.22672820200387e-05,3.61085722033749e-05,0.00135824707103893
"X01BR023.T",4,3.88388571082032e-06,0.00858896225690842,2.15974876027758e-06,0.985295325517654,0.000108471424027812,0.000219432913581841
"X01BR025.T",2,0.000132477412989829,0.280880108475685,0.00308264663908631,0.117607314139605,4.81492934341077e-05,0.000607766531175002
"X01BR026.T",2,1.26912286759762e-05,0.999893069267273,2.93187338229473e-06,2.85167016045307e-05,4.34172452514758e-05,0.00259516295045614
"X01BR027.T",2,1.1163822364324e-06,0.99994695186615,5.27918655279791e-06,0.00610370608046651,4.8797655836097e-05,0.000324062595609576
"X01BR030.T",2,5.91903926761006e-06,0.406962618231773,0.037813238799572,3.93093807815603e-06,4.02134983232827e-05,0.00167526869336143
"X01BR031.T",2,3.6964737546441e-06,0.99967348575592,3.2179058280235e-06,0.00222235405817628,3.39505822921637e-05,0.00334823259618133
"X01BR032.T",4,0.243009142577648,0.000193522071640473,0.0719542354345322,0.430427506566048,0.000109268832602538,0.000109396041807486
"X01BR033.T",2,0.148423872888088,0.981577932834625,3.04999548461637e-05,1.13866440187849e-05,3.21405286740628e-05,0.0242367815226316
"X01BR040.T",2,1.10797229169179e-08,0.999997854232788,8.8752534210812e-09,6.37116299913032e-05,7.2813525548554e-05,0.000102663459983887
"X01BR042.T",2,1.11237159217126e-06,0.999979078769684,1.11263176449938e-06,0.0226567536592484,6.98003714205697e-05,6.07582296652254e-05
"X01BR043.T",2,1.71537303685909e-05,0.999349236488342,9.25348249438684e-05,1.53369928739266e-05,3.46121405527811e-05,0.000208112185646314
"X03BR002.T",6,0.0591443963348866,0.090419951826334,0.00253837602213025,0.00239714561030269,2.62117355305236e-05,0.0482314061373472
"X03BR004.T",6,0.14878536015749,0.123120553791523,0.0021900815772824,0.0567205660045147,3.03573187920847e-05,0.117984805256128
"X03BR005.T",3,0.00283360108733177,0.000372365451767109,0.929476529359818,0.000442699252744205,2.38770262512844e-05,0.0303826257586479
"X03BR006.T",1,0.961531192064285,0.0247070984914899,0.000679394754115492,0.000258066851529293,3.44073168889736e-05,7.8118362580426e-05
"X03BR010.T",2,5.85958969168132e-06,0.927563726902008,2.58711379501619e-05,0.0923098549246788,2.9414176424325e-05,0.000265647904598154
"X03BR013.T",2,0.228332102298737,0.504902884364128,0.00133147035376169,1.34646120386606e-06,3.49585307048983e-05,0.0129639972001314
"X05BR001.T",2,0.000501762639032677,0.992331147193909,1.28928013509721e-06,9.73481678556709e-06,3.9661869777774e-05,0.0132194203324616
"X05BR003.T",2,0.12031626701355,0.570321530103683,5.27106676599942e-05,0.000579796440433711,5.92136293562362e-05,0.0118025629781187
"X05BR004.T",1,0.752594262361526,0.000362452366971411,0.107945568859577,8.61435637489194e-06,1.95687380255549e-05,0.00241342396475375
"X05BR005.T",1,0.814175873994827,6.2537186749978e-05,0.00630187522619963,0.0238750036805868,4.21428885601927e-05,0.131955746561289
"X05BR009.T",1,0.391965061426163,2.67582954620593e-05,0.445226728916168,6.38163191979402e-06,1.93550085896277e-05,0.0461279861629009
"X05BR016.T",3,0.134670674800873,0.000416804759879597,0.428381770849228,0.0699885748326778,2.14273377423524e-05,0.00165884924354032
"X05BR026.T",6,0.101823426783085,0.02291155513376,0.0364558203145862,1.9543998860172e-05,2.34402968999348e-05,0.154962964355946
"X05BR029.T",2,2.13114681457682e-07,0.999990344047546,1.13189045691797e-06,0.000739171315217391,0.000128502699226374,0.000122869027109118
"X05BR038.T",2,8.30631643111701e-06,0.99997878074646,9.97022681303861e-07,0.000115642709715758,2.28978396989987e-05,0.00049891255912371
"X05BR042.T",2,1.96218041992324e-06,0.999977111816406,6.32764255215079e-07,5.75975045649102e-05,4.2428867345734e-05,0.000240369758103043
"X05BR043.T",2,1.68823063972923e-07,0.999976575374603,1.48303406888317e-07,9.44061976042576e-05,4.07337811338948e-05,0.0032320749014616
"X05BR044.T",2,0.0886066108942032,0.181432254612446,0.00987380696460605,0.00234654085943475,2.80513395409798e-05,0.00376226578373462
"X05BR045.T",1,0.978652447462082,0.00421415292657912,0.0010933619341813,1.77682131834445e-05,2.1866095266887e-05,0.00117258005775511
"X06BR003.T",1,0.82770037651062,0.0741266198456287,0.0187276769429445,5.26141866430407e-06,2.53227221946872e-05,0.00241730292327702
"X06BR005.T",2,0.000869732059072703,0.99701526761055,8.65353467816021e-05,8.3105027442798e-05,4.06904828196275e-05,0.00556042115204036
"X06BR006.T",1,0.69215127825737,0.0152891571633518,0.03988241776824,2.02253277166164e-05,2.11775886782561e-05,0.0468394104391336
"X06BR014.T",1,0.947797656059265,0.00335340050514787,0.00857773190364242,0.00259629625361413,2.80629810731625e-05,0.00413192377891392
"X09BR001.T",1,0.565045565366745,0.000705490791006014,0.0242487117648125,0.301452845335007,3.93474219890777e-05,0.000523552211234346
"X09BR004.T",3,0.00622620852664113,0.0406759176403284,0.238052733242512,0.0406920108944178,3.49247948179254e-05,0.000308778253383934
"X09BR005.T",2,0.217055752873421,0.622686952352524,2.75857019005343e-06,0.487868219614029,9.33426563278772e-05,0.00689161708578467
"X09BR007.T",2,9.50426801864523e-05,0.999402225017548,6.2138117300492e-06,1.23057893688383e-05,3.64860516128829e-05,0.00115551584167406
"X11BR003.T",2,2.69570222144466e-07,0.999986886978149,9.64180048868002e-06,4.15538670495152e-05,4.15830954807461e-05,0.000128437535749981
"X11BR004.T",2,1.30891632466046e-06,0.999939799308777,4.30855497057792e-07,9.80555523710791e-06,4.33060467912583e-05,0.00159674294991419
"X11BR006.T",2,3.53638424712699e-05,0.624081254005432,6.2825987697579e-05,0.452686965465546,3.14446688207681e-05,0.000719896939699538
"X11BR009.T",2,3.17236654723274e-08,0.999665260314941,2.56394278039807e-05,0.00544854043982923,3.80013016183511e-05,8.26026698632631e-05
"X11BR010.T",2,1.47628861668636e-05,0.999950170516968,9.02032013527787e-07,3.66606836905703e-05,2.28978396989987e-05,0.00053302594460547
"X11BR011.T",2,3.38900946417198e-07,0.999968290328979,5.82690915962303e-07,2.88414985334384e-05,3.9661869777774e-05,0.000872321077622473
"X11BR012.T",2,7.36940205570136e-06,0.997190117835999,7.79042920839856e-06,0.000561085646040738,4.34779130955576e-05,0.000504009411088191
"X11BR013.T",1,0.371778637170792,0.0980488993227482,0.0274211196228862,0.0130786704830825,1.80569622898474e-05,0.00034704981953837
"X11BR014.T",6,0.245185673236847,0.00058771824114956,0.0776551924645901,3.29495571804728e-06,2.7571393729886e-05,0.0835861749947071
"X11BR015.T",3,0.0469120964407921,0.000316607853164896,0.728503376245499,0.0793660692870617,3.18260299536632e-05,0.000162809981702594
"X11BR016.T",2,1.00066586128378e-07,0.999998331069946,2.27997463753127e-06,2.62705862041912e-05,4.97399050800595e-05,0.000212529092095792
